ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
CurCond4.1.3b_Watershed_19,CurCond4.1.3b,Watershed_19,0.04,0.124,0.187,0.174,0.475,0.097,0.289,0.614,0.041,0.01278558278704821,0.06198528024695388,0.07959222353421144,0.18525268480386525,0.6603842286279212,0.04791955774834948,0.1440498238350487,0.8080306184166018,0.02042892789548505,495.1,4900.205326505807,43.62,1.36
CurCond4.1.3b_Watershed_20,CurCond4.1.3b,Watershed_20,0.08,0.185,0.219,0.198,0.318,0.146,0.379,0.476,0.062,0.016227814946277123,0.11728450348714038,0.10703866271634836,0.2395408072602561,0.5199082115899779,0.06252751269819198,0.22665025232540587,0.710822234976402,0.026655926161354995,560.4,2273.940102331917,64.97,2.03
SimFire4.2.2b_Watershed_9_Blackwood,SimFire4.2.2b,Watershed_9_Blackwood,0.018,0.736,0.244,0.001,0.0,0.07,0.929,0.001,0.03,0.022993032676649622,0.14681057635282085,0.14281947016040722,0.2844779596097287,0.40289896120039353,0.0812912588818587,0.2890808461087939,0.6296278950093473,0.03466583763632794,1676783.8,145182.70885676422,34.33,1.07
SimFire4.2.2b_Watershed_1,SimFire4.2.2b,Watershed_1,0.042,0.113,0.274,0.317,0.254,0.131,0.362,0.507,0.056,0.045250356069813265,0.10952157656301371,0.2926996573950686,0.3295047461294742,0.2230236638426302,0.13963095364699069,0.3747300998451882,0.48563894650782113,0.05959457125694398,41.4,36.05386828053653,58.72,1.84
SimFire4.2.2b_Watershed_2,SimFire4.2.2b,Watershed_2,0.023,0.103,0.148,0.304,0.422,0.084,0.252,0.664,0.036,0.02523808165956519,0.08768871837209122,0.15808412389284587,0.3276578429432962,0.4013312331322012,0.09103195825234199,0.24649350778964943,0.6624745339580083,0.038816337585928035,7.7,5.166288942118836,38.08,1.19
SimFire4.2.2b_Watershed_3,SimFire4.2.2b,Watershed_3,0.018,0.142,0.126,0.253,0.461,0.07,0.268,0.662,0.03,0.019485337889762217,0.23092157893773085,0.130180595442651,0.2211698303334597,0.3982426573963962,0.06884925673117409,0.35663573109666236,0.5745150121721636,0.02936459641855189,6.1,0.3735697114647788,31.97,1.0
SimFire4.2.2b_Watershed_4,SimFire4.2.2b,Watershed_4,0.031,0.21,0.194,0.266,0.299,0.098,0.391,0.511,0.042,0.02062370583636328,0.15148206457681984,0.14128329220049066,0.2806629859946082,0.40594795139171785,0.07822011610413303,0.2921435326664462,0.6296363512294206,0.03335091151361755,543.7,733.4080803290989,44.64,1.4
SimFire4.2.2b_Watershed_5,SimFire4.2.2b,Watershed_5,0.039,0.155,0.259,0.239,0.307,0.118,0.385,0.498,0.05,0.025971440914224153,0.0922418256327313,0.16929395169626021,0.32940239856547276,0.3830903831913113,0.09430330218011687,0.2600726029718898,0.6456240948479931,0.040213104544615436,31.7,42.82961067686965,53.08,1.66
SimFire4.2.2b_Watershed_6,SimFire4.2.2b,Watershed_6,0.03,0.13,0.203,0.282,0.356,0.1,0.319,0.58,0.043,0.02237647682546852,0.09209228817713237,0.15210938132772495,0.3004066224332484,0.43301523123642555,0.08421181190651007,0.2433488787777652,0.6724393093157245,0.03590643101981767,23.8,27.10462433910875,45.39,1.42
SimFire4.2.2b_Watershed_7_Ward,SimFire4.2.2b,Watershed_7_Ward,0.165,0.373,0.326,0.081,0.055,0.242,0.638,0.119,0.104,0.020252774183449306,0.1881968934398464,0.13429652590693303,0.24555419939924866,0.4116996070705225,0.0728992068903378,0.3196944891179384,0.6074063039917237,0.03108840383109217,7298.5,33949.4225932182,106.17,3.32
