um,U' (m/s),"White (w,%)","Transported cum. White (w,%)","Black (w,%)","Remaining cum. Black (w,%)"
,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
176.90000000,3.28360721,0.00000000,0.00000000,0.02183333,0.02183333
161.20000000,3.28672652,0.00000000,0.00000000,0.01976667,0.04160000
194.20000000,3.29811515,0.00000000,0.00000000,0.02443333,0.06603333
146.80000000,3.30900471,0.00000075,0.00000075,0.01803333,0.08406667
213.20000000,3.32890118,0.00000000,0.00000075,0.02640000,0.11046667
133.70000000,3.35181112,0.00004582,0.00004657,0.01620000,0.12666667
234.10000000,3.37469690,0.00000000,0.00004657,0.02623333,0.15290000
121.80000000,3.41624839,0.00036986,0.00041643,0.01416667,0.16706667
256.90000000,3.43376731,0.00000000,0.00041643,0.02640000,0.19346667
111.00000000,3.50318148,0.00148214,0.00189857,0.01250000,0.20596667
282.10000000,3.50573475,0.00000000,0.00189857,0.02800000,0.23396667
309.60000000,3.58867721,0.00000000,0.00189857,0.03100000,0.26496667
101.10000000,3.61460089,0.00347907,0.00537764,0.01173333,0.27670000
339.90000000,3.68247860,0.00000000,0.00537764,0.03393333,0.31063333
92.09000000,3.75084080,0.00666502,0.01204267,0.01060000,0.32123333
373.10000000,3.78589495,0.00000000,0.01204267,0.03780000,0.35903333
409.60000000,3.89865615,0.00000000,0.01204267,0.04250000,0.40153333
83.89000000,3.91263952,0.01052543,0.02256810,0.00926667,0.41080000
449.70000000,4.02021120,0.00000000,0.02256810,0.04663333,0.45743333
76.42000000,4.10086149,0.01436048,0.03692857,0.00806667,0.46550000
493.60000000,4.14973982,0.00000000,0.03692857,0.05146667,0.51696667
541.90000000,4.28760612,0.00000000,0.03692857,0.05791333,0.57488000
69.61000000,4.31641771,0.01715000,0.05407857,0.00756667,0.58244667
594.90000000,4.43326454,0.00000000,0.05407857,0.06158000,0.64402667
63.41000000,4.55979633,0.01873810,0.07281667,0.00763333,0.65166000
653.00000000,4.58644991,0.00000000,0.07281667,0.05780667,0.70946667
716.80000000,4.74737505,0.00000000,0.07281667,0.05149333,0.76096000
57.77000000,4.83152909,0.01960476,0.09242143,0.00776667,0.76872667
786.90000000,4.91615210,0.00000000,0.09242143,0.04158700,0.81031367
863.90000000,5.09280264,0.00000000,0.09242143,0.03095967,0.84127333
52.62000000,5.13364890,0.01997619,0.11239762,0.00760000,0.84887333
47.94000000,5.46579971,0.02003262,0.13243024,0.00673333,0.85560667
948.30000000,5.76825968,0.00000000,0.13243024,0.01263667,0.86824333
43.67000000,5.83053272,0.02125310,0.15368333,0.00666667,0.87491000
1041.00000000,6.09467191,0.00000000,0.15368333,0.00132333,0.87623333
39.78000000,6.22886707,0.02299762,0.17668095,0.00666667,0.88290000
1143.00000000,6.44215311,0.00000000,0.17668095,0.00000000,0.88290000
36.24000000,6.66198307,0.02497636,0.20165731,0.00626667,0.88916667
1255.00000000,6.80980321,0.00000000,0.20165731,0.00000000,0.88916667
33.01000000,7.13296660,0.02737388,0.22903119,0.00590000,0.89506667
1377.00000000,7.19399858,0.00000000,0.22903119,0.00000000,0.89506667
1512.00000000,7.59985387,0.00000000,0.22903119,0.00000000,0.89506667
30.07000000,7.64287552,0.02970929,0.25874048,0.00556667,0.90063333
1660.00000000,8.02246522,0.00000000,0.25874048,0.00000000,0.90063333
27.39000000,8.19483918,0.03291429,0.29165476,0.00536667,0.90600000
1822.00000000,8.45990084,0.00000000,0.29165476,0.00000000,0.90600000
24.95000000,8.79083185,0.03634762,0.32800238,0.00540000,0.91140000
2000.00000000,8.91274213,0.00000000,0.32800238,0.00000000,0.91140000
22.73000000,9.43317746,0.03995476,0.36795714,0.00550000,0.91690000
20.70000000,10.12855254,0.04275714,0.41071429,0.00566667,0.92256667
18.86000000,10.87419466,0.04411905,0.45483333,0.00510000,0.92766667
3000.00000000,11.05352312,0.00000000,0.45483333,0.00000000,0.92766667
17.18000000,11.67899735,0.04342857,0.49826190,0.00526667,0.93293333
15.65000000,12.54523324,0.04009524,0.53835714,0.00433333,0.93726667
4000.00000000,12.78415485,0.00000000,0.53835714,0.00000000,0.93726667
14.26000000,13.47478920,0.03678571,0.57514286,0.00433333,0.94160000
5000.00000000,14.29482542,0.00000000,0.57514286,0.00000000,0.94160000
12.99000000,14.47772290,0.03195238,0.60709524,0.00403333,0.94563333
11.83000000,15.55978708,0.02809524,0.63519048,0.00370000,0.94933333
10.78000000,16.71620727,0.02447619,0.65966667,0.00346667,0.95280000
9.81700000,17.96831916,0.02161905,0.68128571,0.00333333,0.95613333
8.94300000,19.31013775,0.01940476,0.70069048,0.00306667,0.95920000
10000.00000000,20.21528816,0.00000000,0.70069048,0.00000000,0.95920000
8.14700000,20.75255468,0.01745238,0.71814286,0.00296667,0.96216667
11000.00000000,21.20193138,0.00000000,0.71814286,0.00000000,0.96216667
12000.00000000,22.14466344,0.00000000,0.71814286,0.00000000,0.96216667
7.42100000,22.30536989,0.01576190,0.73390476,0.00280000,0.96496667
13000.00000000,23.04887189,0.00000000,0.73390476,0.00000000,0.96496667
14000.00000000,23.91892528,0.00000000,0.73390476,0.00000000,0.96496667
6.76000000,23.97414472,0.01440476,0.74830952,0.00253333,0.96750000
15000.00000000,24.75842413,0.00000000,0.74830952,0.00000000,0.96750000
16000.00000000,25.57037766,0.00000000,0.74830952,0.00000000,0.96750000
6.15800000,25.76791138,0.01361905,0.76192857,0.00243333,0.96993333
17000.00000000,26.35733138,0.00000000,0.76192857,0.00000000,0.96993333
18000.00000000,27.12146134,0.00000000,0.76192857,0.00000000,0.96993333
5.61000000,27.69489277,0.01297619,0.77490476,0.00230000,0.97223333
19000.00000000,27.86464516,0.00000000,0.77490476,0.00000000,0.97223333
20000.00000000,28.58851631,0.00000000,0.77490476,0.00000000,0.97223333
5.11000000,29.76988702,0.01238095,0.78728571,0.00183333,0.97406667
4.65500000,31.99844615,0.01221429,0.79950000,0.00220000,0.97626667
4.24000000,34.39745989,0.01185714,0.81135714,0.00196667,0.97823333
30000.00000000,35.01360214,0.00000000,0.81135714,0.00000000,0.97823333
3.86300000,36.96928969,0.01140476,0.82276190,0.00160000,0.97983333
3.51900000,39.73833691,0.01123810,0.83400000,0.00156667,0.98140000
40000.00000000,40.43021290,0.00000000,0.83400000,0.00000000,0.98140000
3.20500000,42.72169257,0.01080952,0.84480952,0.00166667,0.98306667
50000.00000000,45.20234659,0.00000000,0.84480952,0.00000000,0.98306667
2.92000000,45.91742832,0.01019048,0.85500000,0.00123333,0.98430000
2.66000000,49.35751934,0.00964286,0.86464286,0.00133333,0.98563333
2.42300000,53.05827412,0.00895238,0.87359524,0.00120000,0.98683333
2.20700000,57.03922411,0.00828571,0.88188095,0.00120000,0.98803333
