severity,kcb,rawp,score,median_et_ratio,p10_et_ratio,p90_et_ratio,median_es_fraction,p10_es_fraction,p90_es_fraction,joint_pass_fraction,median_ep_mm,median_es_mm,median_er_mm,median_et_mm,median_undisturbed_et_mm
high,0.35,0.4,10.236257436837523,0.6544549870246765,0.5753730072395558,0.7512389276454018,0.6167318623190974,0.5683455072209059,0.6594031516724731,0.0,82.14660111657366,131.57009957503544,0.0,211.77403049745863,322.22745146237816
high,0.35,0.5,10.244845163960676,0.6591223926811852,0.5779764106207994,0.7570499974165865,0.6134460012547946,0.563245886465774,0.6566328304467192,0.0,83.43592700608285,131.45349679193401,0.0,213.79054078826772,322.22745146237816
high,0.35,0.6,10.258230145726772,0.6624440264198426,0.5780361322211922,0.7579840418420475,0.6112894004949541,0.5618567516196145,0.6535692571981297,0.0,83.68323264727943,131.44433672193986,0.0,214.40855303724692,322.22745146237816
high,0.35,0.7,10.262771538855937,0.6626016702216838,0.5780361322211922,0.7579840418420475,0.6112847024718022,0.5618096730030511,0.6532415381489091,0.0,83.68323264727943,131.44321348220984,0.0,214.44776726939426,322.22745146237816
high,0.35,0.8,10.262771538855937,0.6626016702216838,0.5780361322211922,0.7579840418420475,0.6112847024718022,0.5618096730030511,0.6532415381489091,0.0,83.68323264727943,131.44321348220984,0.0,214.44776726939426,322.22745146237816
high,0.35,0.3,10.384529008915699,0.6476271523822981,0.565236080796755,0.745062449706002,0.6255595276028356,0.5780268812437767,0.664465113843525,0.0,79.11637613532207,131.74079118406803,0.0,208.99976210315816,322.22745146237816
high,0.45,0.6,10.877354028656717,0.7296740673475072,0.6356774240681733,0.841765990335266,0.5763449668724542,0.5355820945925289,0.6153385790127636,0.0,101.53947837680197,135.57233397216902,0.0,235.80725106241152,322.22745146237816
high,0.45,0.8,10.879011161953326,0.730444378107868,0.6360114997501987,0.8432480064056797,0.5758086621345988,0.5344672627910154,0.6140219484207775,0.0,102.06640196650281,135.5532922256479,0.0,235.9801183234731,322.22745146237816
high,0.45,0.7,10.880310294458788,0.730444378107868,0.6360031498751575,0.8431562640345733,0.5758411404472353,0.5344994395650524,0.6142265368341802,0.0,102.02977585201235,135.5544046329473,0.0,235.96416715273733,322.22745146237816
high,0.45,0.5,10.931451939611549,0.7262243248118037,0.634397556115494,0.8370578921097714,0.5802847215481026,0.5401638194330546,0.6200216556591999,0.0,99.47436421964838,135.63867427714362,0.0,234.13941463211404,322.22745146237816
high,0.45,0.4,11.011861643090393,0.7197188191444848,0.6279579066277688,0.8267529611194717,0.5871740933855629,0.5469016275139958,0.6288375923707348,0.0,95.64439838346806,135.7156507791018,0.0,231.545063744688,322.22745146237816
high,0.45,0.3,11.07205125142772,0.7073091858147003,0.6158534901892249,0.8116202386188281,0.5979860585913345,0.5586190363449847,0.6379630917659335,0.0,91.49007166069495,135.78211149070916,0.0,227.54490250812438,322.22745146237816
high,0.55,0.8,11.42304221157691,0.7773593279691167,0.6798928774395604,0.8889065230802136,0.5542232259792519,0.514410024598701,0.5941223543209578,0.0,111.97107991000752,137.85869844179655,0.0,251.12022706441135,322.22745146237816
high,0.55,0.7,11.425895285947558,0.7771707651884063,0.6795734067040629,0.8884310776380564,0.5544359749240508,0.51464662195943,0.5944961583765054,0.0,111.89944129655862,137.8645746187818,0.0,251.08752145654532,322.22745146237816
high,0.55,0.6,11.46322990782068,0.7763496814579571,0.6777638336727437,0.8859107248276976,0.5559851532687158,0.5160360976102905,0.5963987061499993,0.0,111.27338096825267,137.91787559370056,0.0,250.01949837513547,322.22745146237816
high,0.55,0.4,11.493237128467602,0.7597798457000642,0.6648868403811281,0.8634036398865109,0.5691627106033086,0.5330840438259014,0.611903602297545,0.0,104.721875260395,138.27144696275315,0.0,243.89049370885763,322.22745146237816
high,0.55,0.3,11.50104477371787,0.7469624483411816,0.6531545948419328,0.8491783431858821,0.5789709497537272,0.543584178591488,0.6189048122446839,0.0,100.95154028830933,138.3793133905508,0.0,239.990222064828,322.22745146237816
high,0.55,0.5,11.503856357455948,0.7705125218333646,0.6730448094320569,0.8767626863375978,0.5613786842280419,0.5234893747158452,0.602994130870409,0.0,108.5457145237897,138.0235713690526,0.0,247.37992667277732,322.22745146237816
high,0.65,0.6,11.719913204967192,0.8004214601640303,0.7089267476498962,0.9076981893771568,0.5443484016678237,0.5095629808941345,0.5842338211895463,0.0,116.6376701941505,140.46279601699865,0.0,258.0367827681027,322.22745146237816
high,0.65,0.8,11.743850985189212,0.8056669530494633,0.712223521329854,0.9080515124844386,0.5410127265092994,0.507649255217372,0.5789524505611079,0.0,117.7943971335722,140.25238980084998,0.0,258.2671469044247,322.22745146237816
high,0.65,0.5,11.756999588554885,0.795299185155381,0.700487881158119,0.900475811273661,0.549117267514003,0.5135815026883648,0.5907947155197727,0.0,114.46836138655112,140.64695358720112,0.0,256.22424464627954,322.22745146237816
high,0.65,0.7,11.76310584963961,0.8050624318714292,0.712087892897631,0.9081888150805736,0.541947489004085,0.507767222775272,0.5801046117996982,0.0,117.62896258645114,140.29671360719945,0.0,258.32787601033255,322.22745146237816
high,0.65,0.4,11.791959771738473,0.7871746555213974,0.6920291705708576,0.8873603167809414,0.5560846693190804,0.5189016061789216,0.5999705777167674,0.0,111.49467461044915,140.91293892175656,0.0,252.92129114240484,322.22745146237816
high,0.65,0.3,11.81552650899426,0.7763728824180833,0.6838470209664874,0.8783975390401499,0.5647751675779606,0.5287777687638371,0.6093196460884595,0.0,108.44952337305226,141.2986038663445,0.0,249.1000391634031,322.22745146237816
high,0.75,0.4,12.109892900000224,0.8086679626424134,0.7149762723580129,0.9057725398663689,0.5479130171848622,0.5143108973089456,0.5865115488711087,0.0,116.19807557703527,143.14693275560376,0.0,258.659209649196,322.22745146237816
high,0.75,0.7,12.125491479426323,0.8248564067485491,0.7298644055172793,0.9140785000362391,0.5361616485909129,0.5016235484335458,0.5698884576022655,0.0,120.86124614615451,140.93372677276898,0.0,262.6523168902592,322.22745146237816
high,0.75,0.3,12.140250012995887,0.7999223919904097,0.7060959126862725,0.8952486704509534,0.5552311229987565,0.5210464828473108,0.5955599778367017,0.0,113.1126543621365,143.3889780018332,0.0,255.761258228481,322.22745146237816
high,0.75,0.8,12.146087382679234,0.8262666124528806,0.7303287403315606,0.9112634089342897,0.535618891893987,0.5009594968174571,0.5689888400600916,0.0,120.89850929089246,140.52694275477046,0.0,262.35380384967925,322.22745146237816
high,0.75,0.6,12.147831416123006,0.8233806050211679,0.7288590018423745,0.9162616235422173,0.5378269983038658,0.5027185191051755,0.5734651725800177,0.0,120.19423381384888,141.9589150904092,0.0,263.0520039996668,322.22745146237816
high,0.75,0.5,12.184342135213475,0.8180465326938703,0.7229907998117141,0.9121117735582206,0.5427403205266008,0.5078755728342425,0.5813243410231026,0.0,119.00784559620034,142.72387342721441,0.0,261.5090134155488,322.22745146237816
high,0.85,0.8,12.287170825422786,0.8377863902348994,0.7486619806155613,0.9284953098251472,0.5305061446260617,0.49923625194438737,0.5625128020790292,0.0,124.7174827097742,141.54831930672447,0.0,265.92639530039173,322.22745146237816
high,0.85,0.6,12.344362643131468,0.8373013845756612,0.7470390043711159,0.9279296714934979,0.5322996943132074,0.49857235660619137,0.5659494385287512,0.0,124.00003291392386,142.16680693275566,0.0,265.95002333138905,322.22745146237816
