reach,scenario,window,flux,value_mm
172,burned,day203,Er,0.000000
172,burned,prior7,Q,0.000000
172,burned,prior7,latqcc,0.000000
172,burned,prior7,Dp,0.183790
172,burned,prior7,Ep,13.619415
172,burned,prior7,Es,8.218018
172,burned,prior7,Er,0.000000
172,burned,prior30,Q,0.001062
172,burned,prior30,latqcc,0.008953
172,burned,prior30,Dp,0.864418
172,burned,prior30,Ep,48.263558
172,burned,prior30,Es,27.735750
172,burned,prior30,Er,0.000000
172,burned,year34,Q,4.945100
172,burned,year34,latqcc,10.379897
172,burned,year34,Dp,22.240104
172,burned,year34,Ep,326.756946
172,burned,year34,Es,126.079439
172,burned,year34,Er,0.000000
172,burned,annual_mean_100y,Q,0.240472
172,burned,annual_mean_100y,latqcc,2.406816
172,burned,annual_mean_100y,Dp,5.013923
172,burned,annual_mean_100y,Ep,213.320201
172,burned,annual_mean_100y,Es,108.058753
172,burned,annual_mean_100y,Er,0.000000
172,undisturbed,day203,Q,10.492600
172,undisturbed,day203,latqcc,0.247626
172,undisturbed,day203,Dp,0.000000
172,undisturbed,day203,Ep,7.605993
172,undisturbed,day203,Es,0.230711
172,undisturbed,day203,Er,0.000000
172,undisturbed,prior7,Q,0.000000
172,undisturbed,prior7,latqcc,0.000000
172,undisturbed,prior7,Dp,0.000000
172,undisturbed,prior7,Ep,15.359805
172,undisturbed,prior7,Es,0.476981
172,undisturbed,prior7,Er,0.000000
172,undisturbed,prior30,Q,0.000000
172,undisturbed,prior30,latqcc,0.000000
172,undisturbed,prior30,Dp,0.000000
172,undisturbed,prior30,Ep,57.030676
172,undisturbed,prior30,Es,1.875599
172,undisturbed,prior30,Er,0.000000
172,undisturbed,year34,Q,10.492600
172,undisturbed,year34,latqcc,0.510377
172,undisturbed,year34,Dp,1.364379
172,undisturbed,year34,Ep,471.458275
172,undisturbed,year34,Es,7.495812
172,undisturbed,year34,Er,0.000000
172,undisturbed,annual_mean_100y,Q,0.520793
172,undisturbed,annual_mean_100y,latqcc,0.474853
172,undisturbed,annual_mean_100y,Dp,0.187534
172,undisturbed,annual_mean_100y,Ep,319.946520
172,undisturbed,annual_mean_100y,Es,8.543420
172,undisturbed,annual_mean_100y,Er,0.000000
172,high_severity,day203,Q,39.827455
172,high_severity,day203,latqcc,0.013700
172,high_severity,day203,Dp,0.057717
172,high_severity,day203,Ep,2.316316
172,high_severity,day203,Es,5.395216
172,high_severity,day203,Er,0.000000
172,high_severity,prior7,Q,4.385086
172,high_severity,prior7,latqcc,0.007433
172,high_severity,prior7,Dp,0.404016
172,high_severity,prior7,Ep,6.476718
172,high_severity,prior7,Es,9.968310
172,high_severity,prior7,Er,0.000000
172,high_severity,prior30,Q,20.532811
172,high_severity,prior30,latqcc,0.078553
172,high_severity,prior30,Dp,1.732335
172,high_severity,prior30,Ep,26.694795
172,high_severity,prior30,Es,26.328297
172,high_severity,prior30,Er,0.000000
172,high_severity,year34,Q,78.575628
172,high_severity,year34,latqcc,17.553944
172,high_severity,year34,Dp,25.052741
172,high_severity,year34,Ep,203.417622
172,high_severity,year34,Es,141.821550
172,high_severity,year34,Er,0.000000
172,high_severity,annual_mean_100y,Q,20.753383
172,high_severity,annual_mean_100y,latqcc,8.904708
172,high_severity,annual_mean_100y,Dp,14.704159
172,high_severity,annual_mean_100y,Ep,157.825089
