severity,hillslopes,median_et_ratio,p10_et_ratio,p90_et_ratio,median_es_fraction,p10_es_fraction,p90_es_fraction,joint_pass_fraction,median_ep_mm,median_es_mm,median_er_mm,median_et_mm,median_undisturbed_ep_mm,median_undisturbed_es_mm,median_undisturbed_er_mm,median_undisturbed_et_mm,median_undisturbed_es_fraction,pmet_median_et_ratio,pmet_median_es_fraction,pmet_median_et_mm,pmet_median_undisturbed_et_mm
low,5,0.9897382966682842,0.9462373811596336,1.0181555356469552,0.1064739745116002,0.09715596706821926,0.11817546304108116,0.0,235.2672498944702,34.06982482059941,50.09764879696074,323.95968974250735,324.8643056141832,0.0,0.0,324.8643056141832,0.0,0.985072932491482,0.3543480779610691,318.0254664415364,320.91379907133813
moderate,6,0.9965037973854498,0.9372430581499345,1.0459000551307558,0.30822493096412734,0.29282683234006224,0.3213352580614677,0.0,190.05350543852404,99.07978245903897,32.53746798843453,324.1899821010602,321.58928473082756,0.0,0.0,321.58928473082756,0.0,0.9825530264261821,0.4077778320226571,317.4766260498417,323.39977832851434
high,11,0.8616497212324932,0.7687363480305127,0.9392493875362379,0.5009940926816201,0.46310371782274323,0.533862722089276,0.0,128.7768981751521,136.87905466211154,7.976481543204734,274.4754241313225,324.40009457545216,0.0,0.0,324.40009457545216,0.0,0.8488330442567139,0.5279474494520208,270.04260061661535,322.22745146237816
