"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability","target_probability","reason"
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:554","Simulation 2 / 7 / 9","simulation_labels",,30,0.049475235947710146,0.024737617973855073,0.055118139999999996,0.03291236780716566,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:555","Simulation 2 / 7 / 10","simulation_labels",,30,0.0652590079544945,0.03262950397724725,0.04330711,0.03532481619529614,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:556","Simulation 2 / 7 / 11","simulation_labels",,30,0.3042987510002803,0.15214937550014015,0.51574831,0.09992224173083451,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:557","Simulation 2 / 7 / 12","simulation_labels",,30,0.10048416578008547,0.050242082890042734,0.09842524999999999,0.04133765680767518,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:558","Simulation 2 / 7 / 13","simulation_labels",,30,0.43385188071592856,0.21692594035796428,0.48425223,0.16840450826476047,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:559","Simulation 2 / 7 / 14","simulation_labels",,30,0.03458072517556221,0.017290362587781105,0.0787402,0.0307822994688444,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:560","Simulation 2 / 7 / 15","simulation_labels",,30,0.05936761111111116,0.02968380555555558,0.07480318999999999,0.03440504864169083,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:561","Simulation 2 / 7 / 16","simulation_labels",,30,0.13385833999999996,0.06692916999999998,0.06692917,0.04792928004358126,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:562","Simulation 2 / 7 / 17","simulation_labels",,30,0.09655671020040403,0.048278355100202015,0.06299216,0.04062150802388996,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:563","Simulation 2 / 7 / 18","simulation_labels",,30,0.36646244956101215,0.18323122478050607,0.28346472,0.12901945221311573,,
