 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  1  1  1 1980    0.000    0.000   0.000   0.000   0.000 0.000  35.000 157.210   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.000
  1  9  1 1980   76.000   37.074   0.000   5.222   7.100 1.001  35.000 203.472   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    1.596
  1 10  1 1980   34.900   15.133   0.000   2.402   6.300 1.001  35.000 219.056   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.088
  1 11  1 1980   41.600   18.513   0.000   6.857   2.700 1.001  35.000 234.452   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.949
  1 15  1 1980    8.900    0.000   0.000   0.000   0.000 0.000  35.000 227.627   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.000
  1 28  1 1980   68.100   13.675   0.000   2.580   5.300 1.001  35.000 213.163   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.108
  1 29  1 1980   41.100   18.456   0.000   1.453  12.700 1.001  35.000 228.750   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.000
  1  1  2 1980    0.000    0.000   0.000   0.000   0.000 0.000  35.000 201.997   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.000
  1 13  2 1980   66.000    5.064   0.000   0.921   5.500 1.001  35.000 205.227   2.506  0.455   70.000   90.000   90.000    0.086  0.461  0.030  0.010  2.000  0.150    0.000
