 EVENT OUTPUT
day mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER
--- --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----
    9    1     1  76.0    37.1   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.6  1.00
   10    1     1  34.9    15.1   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00
   11    1     1  41.6    18.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.9  1.00
   28    1     1  68.1    13.7   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.1  1.00
   29    1     1  41.1    18.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   13    2     1  66.0     5.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   14    2     1  82.4    59.9   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.7  1.00
   15    2     1 115.7    89.9   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.0  1.00
   16    2     1  54.3    29.5   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.1  1.00
   17    2     1  54.8    38.0   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.6  1.00
   18    2     1  55.1    38.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.5  1.00
   19    2     1  20.2     3.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   20    2     1  18.7     1.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    2    3     1  64.1    10.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28    1     2  57.1    22.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.3  1.00
    1    3     2  50.1     8.7   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00
    2    3     2  20.2     0.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27   11     2  59.1     4.6   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.2  1.00
   20    1     3  53.3     1.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    3     3  52.8    22.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.2  1.00
   17    3     3  36.6    14.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.6  1.00
    1    4     3  23.4     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    9   11     3  98.9    28.9   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.4  1.00
   30   11     3  79.2    48.3   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
   22   12     3  67.2    24.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.2  1.00
   22    1     4  81.8    43.3   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.7  1.00
   23    1     4  38.6    17.0   0.000   0.01   0.01  111.4    0.00    0.00    0.0     1.0  1.00
   24    1     4  40.6    15.2   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.6  1.00
   27    1     4  87.4    50.9   0.000   0.03   0.06  111.4    0.00    0.00    0.0     3.1  1.00
   29    1     4  49.0    29.1   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.6  1.00
   26    2     4  47.3     4.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27    2     4  25.8     4.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28    2     4  61.4    36.7   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.4  1.00
    1    3     4 133.8   106.8   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.2  1.00
    2    3     4  46.6    29.3   0.000   0.02   0.02  111.4    0.00    0.00    0.0     1.6  1.00
   24    3     4  48.9     3.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   24   12     4  52.0     6.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   25   12     4  58.0    36.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.3  1.00
   23   11     5  26.8     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   18   12     5  24.4     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   24   11     6  56.7     5.9   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.4  1.00
   25   11     6  46.4    23.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00
   29   11     6  40.5     3.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   30    1     7  67.4    17.1   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.4  1.00
   13    2     7  57.1    23.1   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.1  1.00
   14    2     7  64.7    41.0   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.4  1.00
   15    2     7  64.7    36.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   31   10     8  75.7    32.1   0.000   0.02   0.02  111.4    0.00    0.00    0.0     1.7  1.00
   17    1     9  70.7    18.2   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.3  1.00
   20    4     9  20.1     0.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    8    2    10  48.6     4.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   16    2    11  79.4    16.4   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.0  1.00
   17    2    11  63.2    43.2   0.000   0.02   0.04  111.4    0.00    0.00    0.0     1.8  1.00
   27    2    12  68.3    19.2   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.6  1.00
   28    2    12  68.0    47.4   0.000   0.03   0.05  111.4    0.00    0.00    0.0     2.7  1.00
    1    3    12  22.7     2.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    3    12  40.1    18.3   0.000   0.01   0.01  111.4    0.00    0.00    0.0     1.0  1.00
   25    3    12  45.3     0.5   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   26    3    12  28.6     3.8   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   27    3    12  23.6     5.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   28   12    12 117.4    72.5   0.000   0.05   0.08  111.4    0.00    0.00    0.0     4.4  1.00
   29   12    12  37.6    18.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.9  1.00
    5    1    13  42.4     5.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   10    2    13  90.0    60.4   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.4  1.00
