 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      1.114     41.888      0.000
      2.228     41.424      0.000
      3.342     40.952      0.000
      4.456     40.472      0.000
      5.570     39.984      0.001
      6.684     39.489      0.003
      7.798     38.986      0.004
      8.912     38.475      0.005
     10.026     37.956      0.006
     11.140     37.430      0.008
     12.254     36.900      0.009
     13.368     36.369      0.010
     14.482     35.838      0.011
     15.596     35.306      0.012
     16.710     34.774      0.013
     17.824     34.241      0.014
     18.938     33.707      0.016
     20.052     33.173      0.017
     21.166     32.638      0.018
     22.280     32.103      0.019
     23.394     31.569      0.021
     24.508     31.039      0.022
     25.622     30.512      0.023
     26.736     29.988      0.024
     27.850     29.468      0.025
     28.964     28.951      0.027
     30.078     28.438      0.028
     31.192     27.928      0.029
     32.306     27.421      0.030
     33.420     26.917      0.031
     34.534     26.417      0.032
     35.648     25.921      0.034
     36.762     25.428      0.035
     37.876     24.938      0.036
     38.990     24.451      0.037
     40.104     23.968      0.038
     41.218     23.489      0.039
     42.332     23.012      0.040
     43.446     22.539      0.041
     44.560     22.070      0.042
     45.674     21.604      0.043
     46.788     21.141      0.044
     47.902     20.682      0.045
     49.016     20.226      0.046
     50.130     19.773      0.047
     51.244     19.324      0.048
     52.358     18.878      0.049
     53.472     18.435      0.050
     54.586     17.996      0.050
     55.700     17.561      0.051
     56.814     17.129      0.052
     57.928     16.704      0.052
     59.042     16.284      0.053
     60.156     15.870      0.053
     61.270     15.462      0.053
     62.384     15.059      0.054
     63.498     14.662      0.054
     64.612     14.271      0.054
     65.726     13.886      0.054
     66.840     13.506      0.054
     67.954     13.132      0.054
     69.068     12.764      0.055
     70.182     12.401      0.055
     71.296     12.044      0.055
     72.410     11.693      0.055
     73.524     11.348      0.054
     74.638     11.008      0.054
     75.752     10.674      0.054
     76.866     10.346      0.054
     77.980     10.023      0.054
     79.094      9.704      0.054
     80.208      9.384      0.055
     81.322      9.065      0.056
     82.436      8.746      0.057
     83.550      8.428      0.058
     84.664      8.110      0.059
     85.778      7.792      0.060
     86.892      7.474      0.061
     88.006      7.157      0.062
     89.120      6.839      0.063
     90.234      6.520      0.064
     91.348      6.198      0.066
     92.462      5.871      0.068
     93.576      5.541      0.070
     94.690      5.208      0.072
     95.804      4.870      0.074
     96.918      4.529      0.076
     98.032      4.184      0.079
     99.146      3.835      0.081
    100.260      3.482      0.083
    101.374      3.129      0.085
    102.488      2.776      0.085
    103.602      2.425      0.086
    104.716      2.075      0.087
    105.830      1.726      0.088
    106.944      1.378      0.088
    108.058      1.032      0.089
    109.172      0.687      0.090
    110.286      0.343      0.091
    111.400      0.000      0.091
