Code,LndcvrID,WEPP_Type,New_WEPPman,ManName,Albedo,iniSatLev,interErod,rillErod,critSh,effHC,soilDepth,Sand,Clay,OM,CEC,Comment
1100,100,Granitic,Tahoe_Bare_Slope.rot,Bare,None,None,300000,0.001,4,None,None,None,None,None,None,
1101,101,Granitic,Tahoe_Sod_Grass.rot,Sod_G,None,None,750000,0.0001,4,None,None,None,None,None,None,
1101,101,Granitic,Tahoe_Sod_Grass.rot,Sod_G,None,None,750000,0.0001,4,None,None,None,None,None,None,
1102,102,Granitic,Tahoe_Old_Forest.rot,OForst,None,None,250000,3.00E-05,4,None,None,None,None,None,None,
1103,103,Granitic,Tahoe_Bunch_Grass.rot,BnchG,None,None,600000,8.00E-05,4,None,None,None,None,None,None,
1104,104,Granitic,Tahoe_Shrub.rot,Shrub,None,None,300000,6.00E-05,4,None,None,None,None,None,None,
1105,105,Granitic,Tahoe_High_Severity_Fire.rot,HighF,None,None,1800000,0.0005,4,None,None,None,None,None,None,
1106,106,Granitic,Tahoe_Low_Severity_Fire.rot,LowF,None,None,1000000,0.0003,4,None,None,None,None,None,None,
1107,107,Granitic,Tahoe_Young_Forest.rot,YForst,None,None,400000,4.00E-05,4,None,None,None,None,None,None,
1110,110,Granitic,Tahoe_Low_Severity_Fire.rot,PrescrF,None,None,1000000,0.0003,4,None,None,None,None,None,None,
1111,111,Granitic,Tahoe_Skid_Trail.rot,Skid,None,None,2700000,0.001,4,None,None,None,None,None,None,
1112,112,Granitic,Tahoe_Young_Forest.rot,Yr1_Recov_Fire,None,None,400000,4.00E-05,4,None,None,None,None,None,None,
1113,113,Granitic,Tahoe_Young_Forest.rot,Yr1_Recov_Thinn,None,None,400000,4.00E-05,4,None,None,None,None,None,None,
1114,114,Granitic,Tahoe_Young_Forest.rot,Yr2_Recov_Fire,None,None,400000,4.00E-05,4,None,None,None,None,None,None,
1115,115,Granitic,Cable_Thinning_93_Cover.man,Cable_Thinning,None,None,400000,4.00E-05,4,None,None,None,None,None,None,
1116,116,Granitic,Forward_Thinning_90_Cover.man,Forward_Thinning,None,None,400000,0.00004,4,None,None,None,None,None,None,
1117,117,Granitic,Skidder_Thinning_85_Cover.man,Skidder_Thinning,None,None,400000,0.00004,4,None,None,None,None,None,None,
1118,118,Granitic,Tahoe_Moderate_Severity_Fire.rot,ModF,None,None,1000000,0.0003,4,None,None,None,None,None,None,
1119,119,Granitic,Tahoe_Shrub_High_Severity_Fire.rot,HighFShrub,None,None,450000,7.00E-05,4,None,None,None,None,None,None,
1120,120,Granitic,Tahoe_Shrub_Moderate_Severity_Fire.rot,ModFShrub,None,None,400000,6.00E-05,4,None,None,None,None,None,None,
1121,121,Granitic,Tahoe_Shrub_Low_Severity_Fire.rot,LowFShrub,None,None,400000,6.00E-05,4,None,None,None,None,None,None,
1122,122,Granitic,Tahoe_Shrub_Low_Severity_Fire.rot,PrescrShrub,None,None,350000,6.00E-05,4,None,None,None,None,None,None,
1123,123,Granitic,Tahoe_Thinning_96_Cover.rot,Thinning_96_Cover,None,None,400000,0.00004,4,None,None,None,None,None,None,
1124,124,Granitic,Tahoe_Thinning_75_Cover.rot,Thinning_75_Cover,None,None,400000,0.00004,4,None,None,None,None,None,None,
2100,100,Volcanic,Tahoe_Bare_Slope.rot,Bare,None,None,750000,0.0008,1.5,None,None,None,None,None,None,
2101,101,Volcanic,Tahoe_Sod_Grass.rot,Sod_G,None,None,1000000,8.00E-05,1.5,None,None,None,None,None,None,
2102,102,Volcanic,Tahoe_Old_Forest.rot,OForst,None,None,300000,2.00E-05,1.5,None,None,None,None,None,None,
2103,103,Volcanic,Tahoe_Bunch_Grass.rot,BnchG,None,None,900000,6.00E-05,1.5,None,None,None,None,None,None,
2104,104,Volcanic,Tahoe_Shrub.rot,Shrub,None,None,600000,4.00E-05,1.5,None,None,None,None,None,None,
2105,105,Volcanic,Tahoe_High_Severity_Fire.rot,HighF,None,None,2000000,0.0004,1.5,None,None,None,None,None,None,
