46|61|76|61||91|"Wet"|"32035640"|"16827941"
61||91|183|183|183||"32035640"|"17059954"
0|0|0|46|61|76||"32035640"|"17175961"
61||91|183|183|183||"32035641"|"16943948"
0|0|0|46|61|76||"32035641"|"17059955"
46|61|76|61||91|"Wet"|"32035641"|"17175962"
91||137|183|183|183||"32035658"|"16827942"
0|0|0|76|99|122||"32035658"|"16943949"
76|99|122|91||137|"Wet"|"32035658"|"17059956"
0|0|0|76|99|122||"32035659"|"16827943"
76|99|122|91||137|"Wet"|"32035659"|"16943950"
91||137|183|183|183||"32035659"|"17175963"
15|31|46|30||61|"Wet"|"32035665"|"16827944"
30||61|183|183|183||"32035665"|"17059957"
0|0|0|15|31|46||"32035665"|"17175964"
0|0|0|46|69|91||"32035676"|"17059963"
46|69|91|183|183|183|"Wet"|"32035676"|"17175970"
0|0|0|46|69|91||"32035677"|"16827950"
46|69|91|183|183|183|"Wet"|"32035677"|"16943957"
46|69|91|61||107|"Wet"|"32048405"|"16829466"
61||107|183|183|183||"32048405"|"17061479"
0|0|0|46|69|91||"32048405"|"17177486"
61||107|183|183|183||"32048406"|"16945473"
0|0|0|46|69|91||"32048406"|"17061480"
46|69|91|61||107|"Wet"|"32048406"|"17177487"
91||137|183|183|183||"32048423"|"16829467"
0|0|0|76|99|122||"32048423"|"16945474"
76|99|122|91||137|"Wet"|"32048423"|"17061481"
0|0|0|76|99|122||"32048425"|"16829468"
76|99|122|91||137|"Wet"|"32048425"|"16945475"
91||137|183|183|183||"32048425"|"17177488"
76|99|122|91||137|"Wet"|"32048430"|"16829469"
91||137|183|183|183||"32048430"|"17061482"
0|0|0|76|99|122||"32048430"|"17177489"
91||137|183|183|183||"32048431"|"16945476"
0|0|0|76|99|122||"32048431"|"17061483"
76|99|122|91||137|"Wet"|"32048431"|"17177490"
61||107|183|183|183||"32048780"|"16829544"
0|0|0|46|69|91||"32048780"|"16945551"
46|69|91|61||107|"Wet"|"32048780"|"17061558"
0|0|0|46|69|91||"32048781"|"16829545"
46|69|91|61||107|"Wet"|"32048781"|"16945552"
61||107|183|183|183||"32048781"|"17177565"
46|69|91|61||107|"Wet"|"32048783"|"16829546"
61||107|183|183|183||"32048783"|"17061559"
0|0|0|46|69|91||"32048783"|"17177566"
61||107|183|183|183||"32048784"|"16945553"
0|0|0|46|69|91||"32048784"|"17061560"
46|69|91|61||107|"Wet"|"32048784"|"17177567"
76||122|183|183|183||"32048786"|"16829547"
0|0|0|61|84|107||"32048786"|"16945554"
61|84|107|76||122|"Wet"|"32048786"|"17061561"
0|0|0|61|84|107||"32048787"|"16829548"
61|84|107|76||122|"Wet"|"32048787"|"16945555"
76||122|183|183|183||"32048787"|"17177568"
30|61|91|46||122|"Wet"|"32048789"|"16829549"
46||122|183|183|183||"32048789"|"17061562"
0|0|0|30|61|91||"32048789"|"17177569"
46||122|183|183|183||"32048790"|"16945556"
0|0|0|30|61|91||"32048790"|"17061563"
30|61|91|46||122|"Wet"|"32048790"|"17177570"
76||152|183|183|183||"32048792"|"16829550"
0|0|0|30|53|76||"32048792"|"16945557"
30|53|76|76||152|"Wet"|"32048792"|"17061564"
0|0|0|30|53|76||"32048793"|"16829551"
30|53|76|76||152|"Wet"|"32048793"|"16945558"
76||152|183|183|183||"32048793"|"17177571"
30|53|76|76||152|"Wet"|"32048794"|"16829552"
76||152|183|183|183||"32048794"|"17061565"
0|0|0|30|53|76||"32048794"|"17177572"
0|0|0|30|61|91||"32048801"|"16945559"
