year,annual_with_interception_mm,annual_without_interception_mm,year_index
1,-2.307242841051846,23.16686152554749,1
2,1.8705267890162247e-07,14.711778848233783,2
3,1.9046265731237355e-07,14.881591907752764,3
4,1.9491789188252895e-07,18.939260615671138,4
5,2.0654474019998759e-07,16.73963270592777,5
6,2.086576434412457e-07,16.158012640926525,6
