year,annual_residual_mm,year_index
1,-2.307242841051846,1
2,1.8705267890162247e-07,2
3,1.9046265731237355e-07,3
4,1.9491789188252895e-07,4
5,2.0654474019998759e-07,5
6,2.086576434412457e-07,6
