 Dist. Downslope Elevation Soil Loss

   (meters)   (meters)  (kg/m**2)

      0.261    276.953      0.000
      0.522    276.759      0.000
      0.783    276.564      0.000
      1.044    276.368      0.000
      1.306    276.171      0.000
      1.567    275.973      0.000
      1.828    275.773      0.000
      2.089    275.573      0.000
      2.350    275.371      0.000
      2.611    275.168      0.000
      2.872    274.964      0.000
      3.133    274.759      0.000
      3.394    274.552      0.000
      3.655    274.345      0.000
      3.916    274.136      0.000
      4.178    273.926      0.000
      4.439    273.715      0.000
      4.700    273.503      0.000
      4.961    273.290      0.000
      5.222    273.075      0.000
      5.483    272.860      0.000
      5.744    272.643      0.000
      6.005    272.425      0.000
      6.266    272.206      0.000
      6.527    271.986      0.000
      6.789    271.764      0.000
      7.050    271.542      0.000
      7.311    271.318      0.000
      7.572    271.093      0.000
      7.833    270.867      0.000
      8.094    270.640      0.000
      8.355    270.412      0.000
      8.616    270.182      0.000
      8.877    269.952      0.000
      9.139    269.720      0.000
      9.400    269.487      0.000
      9.661    269.253      0.000
      9.922    269.018      0.000
     10.183    268.782      0.000
     10.444    268.546      0.000
     10.705    268.312      0.000
     10.966    268.078      0.000
     11.227    267.846      0.000
     11.488    267.616      0.000
     11.749    267.387      0.000
     12.011    267.158      0.000
     12.272    266.932      0.000
     12.533    266.706      0.000
     12.794    266.482      0.000
     13.055    266.259      0.000
     13.316    266.037      0.000
     13.577    265.817      0.000
     13.838    265.597      0.000
     14.099    265.379      0.000
     14.360    265.163      0.000
     14.622    264.947      0.000
     14.883    264.733      0.000
     15.144    264.520      0.000
     15.405    264.309      0.000
     15.666    264.098      0.000
     15.927    263.889      0.000
     16.188    263.681      0.000
     16.449    263.475      0.000
     16.710    263.270      0.000
     16.972    263.066      0.000
     17.233    262.863      0.000
     17.494    262.661      0.000
     17.755    262.461      0.000
     18.016    262.262      0.000
     18.277    262.065      0.000
     18.538    261.868      0.000
     18.799    261.673      0.000
     19.060    261.479      0.000
     19.321    261.287      0.000
     19.583    261.095      0.000
     19.844    260.905      0.000
     20.105    260.716      0.000
     20.366    260.529      0.000
     20.627    260.342      0.000
     20.888    260.155      0.000
     21.149    259.969      0.000
     21.410    259.783      0.000
     21.671    259.597      0.000
     21.932    259.412      0.000
     22.193    259.227      0.000
     22.455    259.043      0.000
     22.716    258.859      0.000
     22.977    258.675      0.000
     23.238    258.492      0.000
     23.499    258.309      0.000
     23.760    258.126      0.000
     24.021    257.944      0.000
     24.282    257.763      0.000
     24.543    257.581      0.000
     24.804    257.400      0.000
     25.066    257.220      0.000
     25.327    257.040      0.000
     25.588    256.860      0.000
     25.849    256.680      0.000
     26.110    256.501      0.000
     26.371    256.322      0.000
     26.632    256.144      0.000
     26.893    255.965      0.000
     27.154    255.786      0.000
     27.416    255.607      0.000
     27.677    255.428      0.000
     27.938    255.250      0.000
     28.199    255.071      0.000
     28.460    254.892      0.000
     28.721    254.713      0.000
     28.982    254.534      0.000
     29.243    254.355      0.000
     29.504    254.177      0.000
     29.765    253.998      0.000
     30.027    253.819      0.000
     30.288    253.640      0.000
     30.549    253.461      0.000
     30.810    253.282      0.000
     31.071    253.104      0.000
     31.332    252.925      0.000
     31.593    252.746      0.000
     31.854    252.567      0.000
     32.115    252.388      0.000
     32.376    252.209      0.000
     32.638    252.031      0.000
     32.899    251.852      0.000
     33.160    251.673      0.000
     33.421    251.494      0.000
     33.682    251.315      0.000
     33.943    251.136      0.000
     34.204    250.958      0.000
     34.465    250.779      0.000
     34.726    250.600      0.000
     34.987    250.421      0.000
     35.249    250.242      0.000
     35.510    250.064      0.000
     35.771    249.885      0.000
     36.032    249.706      0.000
     36.293    249.527      0.000
     36.554    249.348      0.000
     36.815    249.169      0.000
     37.076    248.991      0.000
     37.337    248.812      0.000
     37.598    248.633      0.000
     37.860    248.454      0.000
     38.121    248.275      0.000
     38.382    248.096      0.000
     38.643    247.918      0.000
     38.904    247.739      0.000
     39.165    247.560      0.000
     39.426    247.381      0.000
     39.687    247.202      0.000
     39.948    247.023      0.000
     40.209    246.845      0.000
     40.471    246.666      0.000
     40.732    246.487      0.000
     40.993    246.308      0.000
     41.254    246.129      0.000
     41.515    245.950      0.000
     41.776    245.772      0.000
     42.037    245.593      0.000
     42.298    245.414      0.000
     42.559    245.235      0.000
     42.820    245.056      0.000
     43.082    244.878      0.000
     43.343    244.699      0.000
     43.604    244.520      0.000
     43.865    244.341      0.000
     44.126    244.162      0.000
     44.387    243.983      0.000
     44.648    243.805      0.000
     44.909    243.626      0.000
     45.170    243.447      0.000
     45.431    243.268      0.000
     45.693    243.089      0.000
     45.954    242.910      0.000
     46.215    242.732      0.000
     46.476    242.553      0.000
     46.737    242.374      0.000
     46.998    242.195      0.000
     47.259    242.016      0.000
     47.520    241.837      0.000
     47.781    241.659      0.000
     48.042    241.480      0.000
     48.303    241.301      0.000
     48.565    241.122      0.000
     48.826    240.943      0.000
     49.087    240.764      0.000
     49.348    240.586      0.000
     49.609    240.407      0.000
     49.870    240.228      0.000
     50.131    240.049      0.000
     50.392    239.870      0.000
     50.653    239.692      0.000
     50.914    239.516      0.000
     51.176    239.346      0.000
     51.437    239.181      0.000
     51.698    239.022      0.000
     51.959    238.867      0.000
     52.220    238.718      0.000
     52.481    238.571      0.000
     52.742    238.424      0.000
     53.003    238.277      0.000
     53.264    238.130      0.000
     53.526    237.983      0.000
     53.787    237.836      0.000
     54.048    237.689      0.000
     54.309    237.542      0.000
     54.570    237.396      0.000
     54.831    237.249      0.000
     55.092    237.102      0.000
     55.353    236.955      0.000
     55.614    236.808      0.000
     55.875    236.661      0.000
     56.137    236.514      0.000
     56.398    236.367      0.000
     56.659    236.220      0.000
     56.920    236.073      0.000
     57.181    235.927      0.000
     57.442    235.780      0.000
     57.703    235.633      0.000
     57.964    235.486      0.000
