t_star,p_star
0.0,0.0
0.0,0.0
0.0833333333333333,0.035
0.1666666666666667,0.08
0.25,0.135
0.3333333333333333,0.23
0.4166666666666667,0.6
0.5,0.7
0.5833333333333334,0.78
0.6666666666666666,0.835
0.75,0.885
0.8333333333333334,0.925
0.9166666666666666,0.96
1.0,1.0
