Latitude: 39.66509085882046  Longitude: -107.20072140242478
X & Y on Lambert Conformal Conic: -589607.03 -274979.07
Tile: 11557
Elevation: 2995 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,1,33299.81,0.00,297.15,133.93,-2.44,-11.73,249.12
2021,2,33340.49,0.00,288.87,133.93,-3.62,-12.48,234.34
2021,3,33384.50,0.00,296.94,133.93,-1.80,-11.00,264.03
2021,4,33431.80,0.00,357.51,133.93,2.47,-10.13,282.99
2021,5,33482.37,4.71,244.15,138.64,-1.52,-12.36,236.78
2021,6,33536.16,0.00,372.05,138.64,-1.16,-14.39,200.58
2021,7,33593.15,0.00,364.22,138.64,1.10,-11.51,253.37
2021,8,33653.28,0.00,347.40,138.64,-1.64,-12.94,225.89
2021,9,33716.52,0.00,348.77,138.64,-1.43,-12.71,230.11
2021,10,33782.83,0.00,328.20,138.64,-4.64,-14.69,195.68
2021,11,33852.16,0.00,383.62,138.64,-1.84,-15.25,186.77
2021,12,33924.46,0.00,380.38,138.64,0.46,-12.65,231.15
2021,13,33999.69,0.00,370.16,138.64,2.21,-10.05,284.82
2021,14,34077.80,0.00,209.16,138.64,-5.99,-11.64,250.90
2021,15,34158.74,0.00,364.31,138.64,0.07,-11.47,254.35
2021,16,34242.45,0.00,205.90,138.64,-1.76,-7.29,353.57
2021,17,34328.90,0.00,229.03,138.64,0.16,-6.02,389.69
2021,18,34418.02,0.00,331.60,138.64,-2.81,-12.36,236.72
2021,19,34509.75,0.00,386.80,138.64,-0.98,-13.30,219.33
2021,20,34604.06,0.00,316.32,138.64,-0.36,-9.18,304.95
2021,21,34700.88,0.00,190.11,138.52,-0.77,-5.70,399.51
2021,22,34800.16,7.32,177.02,138.28,0.86,-5.43,407.78
2021,23,34901.83,12.02,223.89,150.29,-2.16,-10.24,280.53
2021,24,35005.86,5.96,251.35,156.26,-2.83,-12.10,241.67
2021,25,35112.18,0.00,381.96,156.26,-3.55,-14.35,201.16
2021,26,35220.73,0.00,312.47,156.26,-6.77,-14.73,195.01
2021,27,35331.47,0.00,419.65,156.26,-3.61,-16.11,173.84
2021,28,35444.32,0.00,379.93,156.10,4.97,-5.63,401.66
2021,29,35559.25,5.65,228.67,155.84,2.50,-5.38,409.29
2021,30,35676.19,3.41,233.47,159.25,-3.47,-11.33,257.21
2021,31,35795.08,0.00,460.13,159.25,1.73,-13.31,219.20
2021,32,35915.88,0.00,430.74,159.25,4.48,-8.36,325.19
2021,33,36038.53,0.00,375.55,158.95,4.78,-5.27,412.65
2021,34,36162.97,10.85,325.32,169.80,2.36,-10.65,271.47
2021,35,36289.15,2.92,246.15,172.72,-6.92,-14.92,192.00
2021,36,36417.02,8.44,150.78,181.16,-7.50,-11.94,244.80
2021,37,36546.53,0.00,299.53,181.16,-4.39,-10.97,264.65
2021,38,36677.62,0.00,305.21,181.16,-0.42,-7.05,359.99
2021,39,36810.24,0.00,270.34,180.70,0.76,-4.91,424.00
2021,40,36944.34,6.97,115.14,179.94,-1.16,-4.20,447.66
2021,41,37079.87,3.68,184.52,179.63,-0.39,-5.25,413.34
2021,42,37216.79,3.03,217.44,179.38,0.23,-5.41,408.32
2021,43,37355.04,14.72,167.52,178.96,-0.90,-5.00,421.28
2021,44,37494.58,10.82,254.86,189.79,-0.92,-7.36,351.70
2021,45,37635.36,0.00,498.78,189.79,-5.55,-16.50,168.32
2021,46,37777.33,5.75,362.18,195.53,-6.24,-16.83,163.73
2021,47,37920.46,3.03,265.27,198.56,-4.67,-11.21,259.62
2021,48,38064.69,1.45,534.47,200.02,-3.43,-15.83,177.97
2021,49,38209.98,0.00,523.82,200.02,-6.44,-17.88,149.85
2021,50,38356.29,0.00,514.98,200.02,-4.70,-15.64,180.89
2021,51,38503.57,0.00,526.59,200.02,0.05,-11.67,250.17
2021,52,38651.80,0.00,452.68,200.02,-5.42,-14.15,204.60
2021,53,38800.92,0.00,525.49,200.02,0.91,-10.58,273.11
2021,54,38950.89,0.00,528.27,200.02,1.93,-9.63,294.35
2021,55,39101.69,2.58,400.39,202.60,-0.08,-12.15,240.73
2021,56,39253.26,0.00,532.63,202.60,-2.70,-14.02,206.76
2021,57,39405.58,3.51,350.01,206.11,-2.97,-12.00,243.58
2021,58,39558.61,0.00,546.87,206.11,-6.51,-17.85,150.22
2021,59,39712.31,0.00,590.18,206.11,-6.28,-19.95,125.41
2021,60,39866.65,0.00,636.44,206.11,3.15,-17.16,159.24
2021,61,40021.59,0.00,593.03,206.11,4.55,-9.77,291.05
2021,62,40177.11,2.60,437.70,208.71,7.64,-6.79,367.42
2021,63,40333.16,0.00,360.33,208.71,0.07,-6.27,382.37
2021,64,40489.71,0.00,609.49,208.71,6.88,-7.81,339.37
2021,65,40646.74,0.00,572.21,208.18,7.82,-4.74,429.58
2021,66,40804.21,0.00,522.64,206.36,9.11,-1.67,540.57
2021,67,40962.10,0.00,325.27,203.86,5.75,-0.05,608.53
2021,68,41120.37,9.35,401.60,203.24,6.77,-4.52,436.82
2021,69,41278.99,0.00,442.98,203.24,-3.26,-11.36,256.44
2021,70,41437.93,0.00,525.69,203.24,0.11,-10.37,277.64
2021,71,41597.17,0.00,606.49,203.24,5.09,-8.99,309.61
2021,72,41756.68,10.12,368.29,213.36,2.52,-7.30,353.29
2021,73,41916.43,3.62,298.29,216.98,-1.66,-9.07,307.61
2021,74,42076.40,2.46,414.70,219.45,2.29,-9.43,299.07
2021,75,42236.54,0.00,520.05,219.45,3.03,-7.31,352.87
2021,76,42396.85,0.00,548.68,219.45,2.19,-8.90,311.84
2021,77,42557.29,0.00,616.96,219.45,5.56,-8.35,325.51
2021,78,42717.83,0.00,587.88,218.35,9.43,-3.38,475.91
2021,79,42878.45,8.02,431.41,217.16,9.38,-3.18,483.28
2021,80,43039.12,5.74,363.81,222.89,0.95,-8.34,325.72
2021,81,43199.82,0.00,494.30,222.89,0.21,-9.03,308.66
2021,82,43360.52,0.00,509.43,222.89,-0.58,-10.12,283.12
2021,83,43521.20,0.00,592.99,222.89,1.57,-10.36,277.96
2021,84,43681.82,5.32,327.42,228.22,-0.46,-8.23,328.61
2021,85,43842.36,4.09,359.67,232.30,1.06,-7.52,347.31
2021,86,44002.80,0.00,528.56,232.30,0.78,-8.71,316.59
2021,87,44163.11,0.00,643.09,232.30,6.97,-6.29,381.67
2021,88,44323.25,0.00,695.92,232.30,8.49,-7.48,343.55
2021,89,44483.22,0.00,600.84,232.30,-2.50,-13.81,210.29
2021,90,44642.97,0.00,732.57,232.30,3.29,-14.21,201.05
2021,91,44802.48,0.00,720.27,232.29,10.99,-5.96,331.24
2021,92,44961.72,0.00,649.11,229.99,12.71,-0.54,507.28
2021,93,45120.67,0.00,670.62,227.08,15.51,0.93,540.15
2021,94,45279.29,0.00,616.56,223.54,14.75,2.43,628.09
2021,95,45437.56,0.00,600.85,220.32,13.36,1.67,608.28
2021,96,45595.44,0.00,585.53,220.32,4.72,-6.10,372.78
2021,97,45752.91,0.00,596.50,219.98,6.08,-5.18,390.68
2021,98,45909.95,0.00,577.04,218.08,9.31,-1.47,503.08
2021,99,46066.50,0.00,605.59,218.08,4.06,-7.36,335.68
2021,100,46222.55,0.00,661.68,217.41,9.09,-4.41,382.43
2021,101,46378.07,0.00,586.52,215.71,9.01,-1.96,481.75
2021,102,46533.01,0.00,637.43,215.39,7.18,-5.24,371.63
2021,103,46687.35,2.12,390.74,213.68,7.53,-1.93,530.14
2021,104,46841.05,0.00,614.17,211.94,9.94,-1.86,472.17
2021,105,46994.08,3.79,398.23,215.73,2.60,-6.83,366.36
2021,106,47146.40,0.00,493.50,215.73,0.32,-8.07,332.77
2021,107,47297.98,0.00,660.08,215.73,2.81,-9.80,274.60
2021,108,47448.78,0.00,735.18,215.73,5.72,-10.23,245.29
2021,109,47598.76,0.00,744.66,215.73,7.16,-9.47,253.62
2021,110,47747.88,0.00,733.35,215.73,2.47,-13.44,198.55
2021,111,47896.10,0.00,638.56,215.73,5.88,-6.44,345.39
2021,112,48043.39,0.00,514.34,215.06,4.69,-4.40,439.52
2021,113,48189.70,0.00,605.55,214.95,5.51,-5.73,365.51
2021,114,48335.00,0.00,697.56,214.17,10.44,-4.16,347.73
2021,115,48479.23,0.00,477.58,210.06,12.40,3.79,712.16
2021,116,48622.35,0.00,471.95,207.11,9.41,1.04,604.23
2021,117,48764.33,6.36,402.99,205.68,7.13,-2.60,503.25
2021,118,48905.11,0.00,628.19,204.47,8.73,-3.12,402.98
2021,119,49044.65,0.00,737.30,202.58,15.06,-1.50,382.28
2021,120,49182.91,0.00,708.17,198.82,18.19,2.93,504.48
2021,121,49319.83,0.00,652.22,194.13,18.20,5.19,612.97
2021,122,49455.36,9.64,428.87,191.69,10.27,-0.21,563.97
2021,123,49589.47,8.16,332.05,190.34,4.58,-2.78,497.85
2021,124,49722.09,2.91,425.80,189.32,6.42,-3.56,469.40
2021,125,49853.19,0.00,661.56,187.92,9.84,-2.69,396.00
2021,126,49982.69,0.00,746.09,185.31,17.03,0.22,408.49
2021,127,50110.57,0.00,649.60,180.66,17.85,5.08,600.63
2021,128,50236.75,0.00,663.18,178.88,11.19,-1.76,394.46
2021,129,50361.20,5.00,475.40,178.46,7.06,-5.00,388.46
2021,130,50483.85,10.60,375.26,177.63,4.53,-4.03,453.44
2021,131,50604.65,7.82,414.93,177.15,4.84,-4.85,426.23
2021,132,50723.55,0.00,733.31,176.45,11.39,-4.35,321.92
2021,133,50840.50,0.00,695.15,173.47,15.55,1.11,462.77
2021,134,50955.43,0.00,645.58,169.48,16.20,3.50,529.74
2021,135,51068.29,0.00,684.78,165.67,17.35,3.07,451.40
2021,136,51179.03,0.00,655.77,161.31,17.83,4.37,508.59
2021,137,51287.59,3.38,434.18,158.60,11.49,0.45,527.56
2021,138,51393.91,0.00,668.59,155.90,14.09,0.45,383.30
2021,139,51497.94,0.00,698.46,152.38,17.36,2.38,397.96
2021,140,51599.62,0.00,649.04,148.28,16.75,3.74,470.53
2021,141,51698.91,4.28,325.31,144.26,11.18,3.59,742.63
2021,142,51795.73,0.00,627.78,140.53,15.20,2.88,477.58
2021,143,51890.04,0.00,548.14,138.13,9.69,-0.28,450.29
2021,144,51981.79,0.00,685.41,136.43,12.27,-1.97,328.13
2021,145,52070.91,0.00,696.53,133.95,15.03,-0.09,354.93
2021,146,52157.36,0.00,561.37,129.64,15.00,4.27,561.34
2021,147,52241.08,0.00,655.15,126.18,16.02,2.22,425.03
2021,148,52322.03,0.00,666.32,122.06,18.29,3.81,440.43
2021,149,52400.14,0.00,635.66,117.46,18.26,4.96,497.55
2021,150,52475.38,3.18,454.09,114.00,14.55,2.23,551.53
2021,151,52547.69,0.00,630.01,110.91,14.29,1.35,419.85
