Latitude: 39.637893121733924  Longitude: -107.21442401398961
X & Y on Lambert Conformal Conic: -590975.44 -277756.44
Tile: 11557
Elevation: 2904 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,129,50346.30,3.60,459.68,154.09,7.93,-4.03,408.44
2021,130,50468.68,10.26,364.52,152.97,5.23,-3.34,477.23
2021,131,50589.22,7.88,406.09,152.22,5.58,-4.20,441.32
2021,132,50707.86,0.00,718.26,151.28,12.17,-3.76,323.75
2021,133,50824.55,0.00,690.71,148.19,16.39,1.34,446.96
2021,134,50939.23,0.00,645.58,144.05,17.18,3.86,513.72
2021,135,51051.84,0.00,675.84,140.04,18.25,3.55,446.52
2021,136,51162.33,0.00,648.34,135.47,18.77,4.88,503.67
2021,137,51270.65,3.58,427.78,132.51,12.35,1.05,534.18
2021,138,51376.74,0.00,659.05,129.61,14.95,0.91,380.56
2021,139,51480.54,0.00,690.22,125.96,18.24,2.69,387.97
2021,140,51581.99,0.00,643.59,121.69,17.73,4.16,461.88
2021,141,51681.05,3.42,322.04,117.37,12.13,4.28,762.66
2021,142,51777.66,0.00,611.76,113.36,16.02,3.55,484.46
2021,143,51871.76,0.00,534.64,110.61,10.68,0.55,463.83
2021,144,51963.30,0.00,666.81,108.62,13.07,-1.28,333.62
2021,145,52052.22,0.00,683.12,105.93,15.88,0.41,352.20
2021,146,52138.48,0.00,556.75,101.46,15.80,4.66,553.17
2021,147,52222.01,0.00,641.98,97.73,16.97,2.86,426.60
2021,148,52302.77,0.00,654.47,93.39,19.22,4.34,434.72
2021,149,52380.71,0.00,628.56,88.60,19.23,5.40,485.63
