Date,GCCC2_CinnamonCreek 15-minute Intensity (mm/h),GCDC2_Deadman 15-minute Intensity (mm/h),GCEC2_EastForkDeadHorse 15-minute Intensity (mm/h),GCFC2_CoffeePot 15-minute Intensity (mm/h),GCIC2_Windy_Point 15-minute Intensity (mm/h),GCNC2_NoName 15-minute Intensity (mm/h),GCTC2_CinnamonCreekComplex 15-minute Intensity (mm/h),USGS_gc1 15-minute Intensity (mm/h),USGS_gc2 15-minute Intensity (mm/h),USGS_gc3 15-minute Intensity (mm/h),Bair Ranch ﻿15-minute Intensity (mm/h) ,Max 15 min Rainfall (mm/hr),GCCC2_CinnamonCreek 15-minute Accumulation (in),GCDC2_Deadman 15-minute Accumulation (in),GCEC2_EastForkDeadHorse 15-minute Accumulation (in),GCFC2_CoffeePot 15-minute Accumulation (in),GCIC2_Windy_Point 15-minute Accumulation (in),GCNC2_NoName 15-minute Accumulation (in),GCTC2_CinnamonCreekComplex 15-minute Accumulation (in),USGS_gc1 15-minute Accumulation (in),USGS_gc2 15-minute Accumulation (in),USGS_gc3 15-minute Accumulation (in),Bair Ranch ﻿15-minute Accumulation (in),Max 15 min Accumulation of Rainfall (in),"Debris Flow (1 = debris flow, 0 = no debris flow)"
7/12/21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.401,n/a,2.401,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02363189,n/a,0.02363189,0
7/13/21,n/a,n/a,1.016,22.352,2.032,n/a,n/a,2.4,n/a,23.467,n/a,23.467,n/a,n/a,0.01,0.22,0.02,n/a,n/a,0.023622047,n/a,0.230974409,n/a,0.230974409,0
7/14/21,n/a,39.624,24.384,25.4,8.128,n/a,n/a,19.467,10.001,33.6,n/a,39.624,n/a,0.39,0.24,0.25,0.08,n/a,n/a,0.191604331,0.098435039,0.330708661,n/a,0.39,1
7/15/21,n/a,n/a,n/a,13.208,n/a,n/a,n/a,3.205,10.429,7.548,n/a,13.208,n/a,n/a,n/a,0.13,n/a,n/a,n/a,0.031545276,0.102647638,0.074291339,n/a,0.13,0
7/17/21,n/a,7.112,n/a,1.016,n/a,1.016,n/a,n/a,n/a,n/a,n/a,7.112,n/a,0.07,n/a,0.01,n/a,0.01,n/a,n/a,n/a,n/a,n/a,0.07,0
7/20/21,7.112,19.812,5.08,3.048,1.016,3.048,4.064,13.2,4.686,n/a,64.008,64.008,0.07,0.195,0.05,0.03,0.01,0.03,0.04,0.12992126,0.046122047,n/a,0.63,0.63,1
7/21/21,2.032,n/a,3.048,3.048,n/a,n/a,16.256,4.011,n/a,2.407,n/a,16.256,0.02,n/a,0.03,0.03,n/a,n/a,0.16,0.039478346,n/a,0.023690945,n/a,0.16,0
7/22/21,29.464,n/a,51.139,31.496,29.464,1.016,21.336,68,30.4,46,n/a,68,0.29,n/a,0.503336614,0.31,0.29,0.01,0.21,0.669291339,0.299212598,0.452755906,n/a,0.669291339,1
7/25/21,6.096,n/a,32.512,n/a,n/a,1.016,n/a,n/a,12.933,n/a,9.144,32.512,0.06,n/a,0.32,n/a,n/a,0.01,n/a,n/a,0.127293307,n/a,0.09,0.32,0
7/26/21,9.144,5.08,n/a,n/a,n/a,n/a,n/a,12,n/a,n/a,n/a,12,0.09,0.05,n/a,n/a,n/a,n/a,n/a,0.118110236,n/a,n/a,n/a,0.118110236,0
7/28/21,n/a,2.032,28.651,5.08,10.16,4.064,n/a,n/a,4.006,5.309,n/a,28.651,n/a,0.02,0.281998031,0.05,0.1,0.04,n/a,n/a,0.039429134,0.052253937,n/a,0.281998031,0
7/29/21,49.784,67.056,52.832,64.008,20.32,n/a,n/a,29.6,56.8,73.867,104.648,104.648,0.49,0.66,0.52,0.63,0.2,n/a,n/a,0.291338583,0.559055118,0.727037402,1.03,1.03,1
7/30/21,3.048,6.096,n/a,7.112,6.096,n/a,n/a,4,3.2,4.014,n/a,7.112,0.03,0.06,n/a,0.07,0.06,n/a,n/a,0.039370079,0.031496063,0.039507874,n/a,0.07,0
7/31/21,44.704,37.998,77.216,1.016,26.416,n/a,n/a,40,22.8,n/a,n/a,77.216,0.44,0.373996063,0.76,0.01,0.26,n/a,n/a,0.393700787,0.224409449,n/a,n/a,0.76,1
8/1/21,n/a,n/a,5.08,n/a,1.016,n/a,n/a,n/a,n/a,n/a,n/a,5.08,n/a,n/a,0.05,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0
8/2/21,n/a,2.032,78.232,10.16,n/a,n/a,n/a,2.411,n/a,9.333,n/a,78.232,n/a,0.02,0.77,0.1,n/a,n/a,n/a,0.023730315,n/a,0.091860236,n/a,0.77,0
8/3/21,8.128,12.192,33.782,33.528,6.096,n/a,n/a,5.867,13.2,40.8,n/a,40.8,0.08,0.12,0.3325,0.33,0.06,n/a,n/a,0.057746063,0.12992126,0.401574803,n/a,0.401574803,1
8/6/21,2.032,16.459,4.064,3.048,2.032,n/a,n/a,3.689,n/a,n/a,n/a,16.459,0.02,0.161998031,0.04,0.03,0.02,n/a,n/a,0.036309055,n/a,n/a,n/a,0.161998031,0
8/10/21,n/a,n/a,n/a,6.096,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.096,n/a,n/a,n/a,0.06,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0
8/13/21,n/a,n/a,n/a,n/a,4.064,n/a,n/a,n/a,n/a,n/a,n/a,4.064,n/a,n/a,n/a,n/a,0.04,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0
8/14/21,n/a,n/a,2.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.032,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0
8/15/21,n/a,5.08,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.08,n/a,0.05,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0
8/16/21,n/a,n/a,2.032,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.032,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0
