INFO:wctl2:docker compose exec weppcloud python /workdir/wepppy/docs/work-packages/20260917_dead_horse_storm_correspondence/artifacts/gauge_comparison.py
Gauge inside basin: True
      date  gauge_I15_mm_h  regional_debris_flow_flag  Daymet_at_gauge_daily_mm  Daymet_CLI_I15_mm_h  Daymet_CLI_M3  GridMET_CLI_I15_mm_h  GridMET_CLI_M3  M3_using_gauge_I15
2021-07-25          32.512                          0                      3.66             5.311580       0.044973              2.659265        0.032850            0.573235
2021-07-26             NaN                          0                      0.00             0.000000            NaN              0.420894        0.025132                 NaN
2021-07-28          28.651                          0                     12.98            15.500000       0.141778              4.595753        0.041334            0.454981
2021-07-29          52.832                          1                     10.15            20.607959       0.236609             13.763470        0.117687            0.942580
2021-07-30             NaN                          0                     15.99            37.381583       0.709907             10.363636        0.080666                 NaN
2021-07-31          77.216                          1                     12.46            24.752922       0.340570              9.837868        0.075991            0.996988
2021-08-01           5.080                          0                      9.52            11.872013       0.095564             14.466822        0.126986            0.043763
2021-08-02          78.232                          0                      8.20            14.138446       0.122569              2.142857        0.030888            0.997341
2021-08-03          33.782                          1                      0.00             0.000000            NaN              4.172349        0.039316            0.610998
2021-08-06           4.064                          0                      0.13             0.000000            NaN              0.000000             NaN            0.038815
2021-08-10             NaN                          0                      0.00             0.000000            NaN              0.000000             NaN                 NaN
2021-08-13             NaN                          0                      0.00             0.000000            NaN              0.000000             NaN                 NaN
2021-08-14           2.032                          0                      0.00             0.000000            NaN              0.000000             NaN            0.030481
2021-08-15             NaN                          0                      0.00             0.000000            NaN              0.000000             NaN                 NaN
2021-08-16           2.032                          0                      0.00             0.000000            NaN              0.624211        0.025753            0.030481
