Latitude: 39.61559160700338  Longitude: -107.22640965626077
X & Y on Lambert Conformal Conic: -592159.5 -280028.36
Tile: 11557
Elevation: 2858 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,1,33320.85,0.00,283.20,115.03,-1.92,-11.29,257.89
2021,2,33361.44,0.00,282.22,115.03,-2.99,-12.25,238.80
2021,3,33405.34,0.00,285.23,115.03,-1.55,-10.94,265.27
2021,4,33452.54,0.00,338.28,115.03,2.92,-9.80,290.45
2021,5,33502.99,5.88,230.44,120.91,-0.95,-11.56,252.49
2021,6,33556.66,0.00,348.27,120.91,-0.80,-13.81,210.36
2021,7,33613.52,0.00,342.99,120.91,1.46,-11.11,261.83
2021,8,33673.51,0.00,328.28,120.91,-1.11,-12.42,235.59
2021,9,33736.61,0.00,331.84,120.91,-1.02,-12.43,235.31
2021,10,33802.76,0.00,315.03,120.91,-4.09,-14.35,201.18
2021,11,33871.93,0.00,362.47,120.91,-1.55,-14.96,191.33
2021,12,33944.07,0.00,360.66,120.91,0.56,-12.64,231.30
2021,13,34019.13,0.00,355.06,120.91,2.54,-10.14,282.71
2021,14,34097.06,0.00,226.05,120.91,-4.81,-11.28,258.29
2021,15,34177.81,0.00,351.88,120.91,0.81,-11.23,259.28
2021,16,34261.34,0.00,229.56,120.91,-0.81,-7.35,351.86
2021,17,34347.59,0.00,241.99,120.87,1.02,-5.90,393.22
2021,18,34436.50,0.00,313.30,120.87,-1.77,-11.27,258.49
2021,19,34528.04,0.00,361.57,120.87,-0.26,-12.28,238.26
2021,20,34622.13,0.00,309.96,120.87,0.48,-8.75,315.41
2021,21,34718.73,0.00,203.23,120.63,0.08,-5.44,407.49
2021,22,34817.79,7.23,176.19,120.19,1.57,-4.96,422.58
2021,23,34919.24,9.26,208.37,129.46,-1.63,-9.40,299.87
2021,24,35023.03,7.59,230.93,137.04,-2.62,-11.33,257.07
2021,25,35129.11,3.16,263.35,140.20,-2.92,-13.38,217.91
2021,26,35237.43,0.00,297.26,140.20,-6.07,-14.01,206.97
2021,27,35347.92,0.00,395.91,140.20,-2.98,-15.35,185.28
2021,28,35460.52,0.00,375.32,140.08,5.61,-5.72,398.79
2021,29,35575.20,6.03,228.70,139.64,3.33,-4.95,422.83
2021,30,35691.88,3.49,219.26,143.13,-2.74,-10.35,278.00
2021,31,35810.51,0.00,429.95,143.13,1.86,-12.45,235.00
2021,32,35931.05,0.00,414.57,143.13,4.73,-8.41,324.12
2021,33,36053.43,0.00,370.89,142.85,5.28,-5.33,410.93
2021,34,36177.60,11.60,310.26,154.45,3.03,-9.73,292.12
2021,35,36303.51,2.60,238.68,157.05,-6.18,-14.22,203.37
2021,36,36431.10,6.15,157.20,163.20,-6.72,-11.52,253.19
2021,37,36560.33,0.00,307.00,163.20,-3.36,-10.51,274.47
2021,38,36691.13,0.00,325.34,163.20,0.71,-6.89,364.45
2021,39,36823.47,0.00,295.06,162.65,1.91,-4.71,430.74
2021,40,36957.28,5.58,129.33,161.72,-0.19,-3.79,461.71
2021,41,37092.53,3.45,185.25,161.14,0.50,-4.62,433.45
2021,42,37229.15,3.28,230.66,160.74,1.35,-5.03,420.22
2021,43,37367.11,12.56,169.15,160.12,-0.20,-4.54,436.31
