date,gauge_I15_mm_h,regional_debris_flow_flag,Daymet_at_gauge_daily_mm,Daymet_CLI_I15_mm_h,Daymet_CLI_M3,GridMET_CLI_I15_mm_h,GridMET_CLI_M3,M3_using_gauge_I15
2021-07-25,32.512,0,3.66,5.311580201825399,0.0449728320678013,2.659264786203379,0.032849659670702,0.5732351424736724
2021-07-26,,0,0.0,0.0,,0.4208935542217781,0.0251322167957837,
2021-07-28,28.651,0,12.98,15.500000000000014,0.1417782713390961,4.595752681607539,0.0413338143826063,0.45498148980495157
2021-07-29,52.832,1,10.15,20.607959401727037,0.2366087372706452,13.763470161447552,0.1176871980814986,0.9425799443509445
2021-07-30,,0,15.99,37.38158341438613,0.7099071740889858,10.36363636363637,0.0806659890470863,
2021-07-31,77.216,1,12.46,24.752922425115717,0.3405697278587102,9.837867806297972,0.0759914538987691,0.996987669028248
2021-08-01,5.08,0,9.52,11.872013378525711,0.0955636251721938,14.466822145575172,0.1269862571360797,0.043763340869760234
2021-08-02,78.232,0,8.2,14.138446321450036,0.1225690053900235,2.142857142857143,0.0308875521617194,0.9973411055488586
2021-08-03,33.782,1,0.0,0.0,,4.172348774009848,0.0393157736594148,0.6109983309848344
2021-08-06,4.064,0,0.13,0.0,,0.0,,0.03881473816057907
2021-08-10,,0,0.0,0.0,,0.0,,
2021-08-13,,0,0.0,0.0,,0.0,,
2021-08-14,2.032,0,0.0,0.0,,0.0,,0.03048138300139241
2021-08-15,,0,0.0,0.0,,0.0,,
2021-08-16,2.032,0,0.0,0.0,,0.6242110089589007,0.0257532147014088,0.03048138300139241
