,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
28,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7688,120.23,6182021,39.564371,-107.267852,0,,6182021,,,,,,,,,,,,
29,2020,CO,Grizzly Creek Fire,grz2020,grz2020_8292,121.92,6182021,39.559567,-107.239327,0,,6182021,,,,,,,,,,,,
30,2020,CO,Grizzly Creek Fire,grz2020,grz2020_7713,122.66,6182021,39.567466,-107.229297,0,,6182021,,,,,,,,,,,,
31,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,6182021,39.576728,-107.221868,0,,6182021,,,,,,,,,,,,
32,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6730,123.99,6182021,39.575775,-107.210453,0,,6182021,USGS_gc_1,39.562758,-107.171371,3.66,1.2,26.571,4.807,2.407,1.207,0.047312992,0.04738189,0.047519685
33,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,6182021,39.580585,-107.203615,0,,6182021,,,,,,,,,,,,
34,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,6182021,39.577953,-107.204888,0,,6182021,USGS_gc_1,39.562758,-107.171371,3.34,1.2,26.571,4.807,2.407,1.207,0.047312992,0.04738189,0.047519685
35,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,6182021,39.587694,-107.194739,0,,6182021,,,,,,,,,,,,
36,2020,CO,Grizzly Creek Fire,grz2020,no segment available,125.57,6182021,39.590132,-107.187256,0,,6182021,USGS_gc_2,39.577192,-107.14883,3.6,4.001,130.662,16.001,8.001,4.001,0.157490157,0.1575,0.157519685
37,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126,6182021,39.593441,-107.177952,0,,6182021,,,,,,,,,,,,
39,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,6182021,39.599788,-107.171554,0,,6182021,,,,,,,,,,,,
40,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,6182021,39.567466,-107.229297,0,,6182021,,,,,,,,,,,,
41,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,6182021,39.60235705,-107.1631228,0,,6182021,,,,,,,,,,,,
42,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,6182021,39.603097,-107.159339,0,,6182021,,,,,,,,,,,,
43,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,6182021,39.6085,-107.1543,0,,6182021,,,,,,,,,,,,
44,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,6182021,39.608744,-107.153603,0,,6182021,,,,,,,,,,,,
45,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,6182021,39.609181,-107.152192,0,,6182021,,,,,,,,,,,,
46,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128,6182021,39.610049,-107.148402,0,,6182021,,,,,,,,,,,,
47,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,6182021,39.610562,-107.146508,0,,6182021,,,,,,,,,,,,
48,2020,CO,Grizzly Creek Fire,grz2020,grz2020_1762,128.3,6182021,39.613418,-107.142133,0,,6182021,,,,,,,,,,,,
