Latitude: 39.6645601730596  Longitude: -107.23322661714053
X & Y on Lambert Conformal Conic: -592266.83 -274804.87
Tile: 11557
Elevation: 3033 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,1,33299.81,0.00,297.28,137.21,-2.67,-11.70,249.55
2021,2,33340.49,0.00,283.13,137.21,-3.85,-12.26,238.71
2021,3,33384.50,0.00,294.69,137.21,-2.09,-10.96,264.80
2021,4,33431.80,0.00,360.57,137.21,2.40,-10.09,283.90
2021,5,33482.37,7.16,248.02,144.37,-1.71,-12.56,232.83
2021,6,33536.16,0.00,374.31,144.37,-1.31,-14.33,201.51
2021,7,33593.15,0.00,365.14,144.37,1.07,-11.26,258.58
2021,8,33653.28,0.00,347.75,144.37,-1.73,-12.74,229.43
2021,9,33716.52,0.00,352.45,144.37,-1.66,-12.76,229.14
2021,10,33782.83,0.00,328.73,144.37,-4.86,-14.63,196.67
2021,11,33852.16,0.00,388.17,144.37,-1.77,-15.05,189.86
2021,12,33924.46,0.00,384.23,144.37,0.56,-12.39,236.05
2021,13,33999.69,0.00,371.14,144.37,2.10,-9.87,288.97
2021,14,34077.80,0.00,202.99,144.37,-6.41,-11.75,248.66
2021,15,34158.74,0.00,362.86,144.37,-0.15,-11.29,257.91
2021,16,34242.45,0.00,196.37,144.37,-2.12,-7.26,354.26
2021,17,34328.90,0.00,233.42,144.37,-0.06,-6.21,384.07
2021,18,34418.02,0.00,332.46,144.37,-3.12,-12.42,235.51
2021,19,34509.75,0.00,391.90,144.37,-1.18,-13.40,217.51
2021,20,34604.06,0.00,308.20,144.37,-0.70,-9.00,309.29
2021,21,34700.88,0.00,177.40,144.21,-1.14,-5.62,401.82
2021,22,34800.16,7.90,175.29,143.99,0.60,-5.48,406.18
2021,23,34901.83,12.14,222.72,156.13,-2.51,-10.33,278.52
2021,24,35005.86,6.96,250.87,163.10,-3.04,-12.04,242.96
2021,25,35112.18,3.26,281.65,166.35,-3.80,-14.40,200.35
2021,26,35220.73,0.00,307.74,166.35,-7.08,-14.67,195.95
2021,27,35331.47,0.00,418.29,166.35,-4.01,-16.00,175.49
2021,28,35444.32,0.00,380.56,166.16,4.75,-5.55,403.88
2021,29,35559.25,6.12,225.90,165.91,2.16,-5.39,409.07
2021,30,35676.19,3.80,238.93,169.71,-3.82,-11.67,250.17
2021,31,35795.08,0.00,465.45,169.71,1.56,-13.36,218.23
2021,32,35915.88,0.00,436.49,169.71,4.59,-8.20,329.24
2021,33,36038.53,0.00,369.29,169.32,4.46,-5.08,418.69
2021,34,36162.97,11.03,328.93,180.35,1.94,-10.92,265.80
2021,35,36289.15,2.66,249.20,183.02,-7.24,-15.15,188.41
2021,36,36417.02,7.72,154.79,190.74,-7.70,-12.17,240.41
2021,37,36546.53,0.00,305.71,190.74,-4.66,-11.23,259.12
2021,38,36677.62,0.00,308.14,190.74,-0.83,-7.36,351.52
2021,39,36810.24,0.00,268.23,190.34,0.42,-5.06,419.42
2021,40,36944.34,6.91,109.33,189.63,-1.50,-4.31,443.95
2021,41,37079.87,4.02,181.14,189.39,-0.76,-5.42,408.08
2021,42,37216.79,3.37,213.28,189.20,-0.19,-5.57,403.40
2021,43,37355.04,14.94,165.12,188.85,-1.22,-5.16,416.23
2021,44,37494.58,10.80,257.68,199.65,-1.23,-7.58,345.64
2021,45,37635.36,0.00,505.12,199.65,-5.82,-16.72,165.17
2021,46,37777.33,6.03,365.85,205.68,-6.38,-16.91,162.58
2021,47,37920.46,2.97,262.96,208.65,-4.98,-11.29,258.03
2021,48,38064.69,1.71,540.22,210.36,-3.73,-16.03,175.10
2021,49,38209.98,0.00,527.29,210.36,-6.73,-17.97,148.64
2021,50,38356.29,0.00,514.51,210.36,-5.00,-15.60,181.39
2021,51,38503.57,0.00,530.08,210.36,-0.38,-11.85,246.68
2021,52,38651.80,0.00,456.06,210.36,-5.70,-14.30,202.10
2021,53,38800.92,0.00,529.72,210.36,0.59,-10.76,269.13
2021,54,38950.89,0.00,525.59,210.36,1.53,-9.59,295.38
2021,55,39101.69,2.34,400.58,212.69,-0.48,-12.20,239.87
2021,56,39253.26,0.00,536.91,212.69,-3.01,-14.19,203.94
2021,57,39405.58,3.67,348.96,216.36,-3.31,-12.10,241.65
2021,58,39558.61,0.00,550.57,216.36,-6.83,-18.04,147.78
2021,59,39712.31,0.00,594.54,216.36,-6.63,-20.08,124.07
2021,60,39866.65,0.00,640.78,216.36,2.95,-17.14,159.41
2021,61,40021.59,0.00,591.55,216.36,4.20,-9.57,295.78
2021,62,40177.11,2.60,436.51,218.96,7.31,-6.61,372.44
2021,63,40333.16,0.00,360.88,218.96,-0.08,-6.29,381.72
2021,64,40489.71,0.00,613.95,218.96,6.69,-7.83,338.97
2021,65,40646.74,0.00,567.66,218.33,7.51,-4.50,437.67
2021,66,40804.21,0.00,514.14,216.41,8.78,-1.44,549.74
2021,67,40962.10,0.00,309.20,213.84,5.48,0.13,616.34
2021,68,41120.37,9.63,405.54,213.29,6.47,-4.70,430.86
2021,69,41278.99,0.00,446.54,213.29,-3.50,-11.48,254.10
2021,70,41437.93,0.00,521.48,213.29,-0.24,-10.29,279.50
2021,71,41597.17,0.00,611.03,213.29,4.74,-9.08,307.47
2021,72,41756.68,9.91,371.46,223.21,2.24,-7.46,348.94
2021,73,41916.43,3.40,303.98,226.60,-1.81,-9.23,303.77
2021,74,42076.40,2.48,419.03,229.08,2.03,-9.59,295.36
2021,75,42236.54,0.00,526.71,229.08,2.83,-7.43,349.67
2021,76,42396.85,0.00,556.55,229.08,1.88,-9.16,305.44
2021,77,42557.29,0.00,616.82,229.08,5.22,-8.31,326.41
2021,78,42717.83,0.00,585.78,227.94,9.08,-3.27,479.74
2021,79,42878.45,8.54,431.55,226.78,9.00,-3.23,481.29
2021,80,43039.12,5.62,375.65,232.40,0.82,-8.66,317.67
2021,81,43199.82,0.00,501.25,232.40,-0.07,-9.27,302.92
2021,82,43360.52,0.00,516.48,232.40,-0.88,-10.37,277.71
2021,83,43521.20,0.00,600.22,232.40,1.31,-10.56,273.46
2021,84,43681.82,5.32,321.41,237.72,-0.83,-8.27,327.56
2021,85,43842.36,4.37,354.54,242.09,0.64,-7.59,345.33
2021,86,44002.80,0.00,533.97,242.09,0.49,-8.90,311.80
2021,87,44163.11,0.00,643.56,242.09,6.64,-6.30,381.47
2021,88,44323.25,0.00,699.01,242.09,8.06,-7.65,343.67
2021,89,44483.22,0.00,608.16,242.09,-2.86,-14.09,205.54
2021,90,44642.97,0.00,736.49,242.09,2.91,-14.31,201.84
2021,91,44802.48,0.00,718.92,242.00,10.57,-5.79,345.58
2021,92,44961.72,0.00,641.35,239.64,12.28,-0.38,530.14
2021,93,45120.67,0.00,669.61,236.68,15.19,1.05,561.11
2021,94,45279.29,0.00,612.41,233.10,14.43,2.54,651.70
2021,95,45437.56,0.00,597.28,229.89,12.95,1.64,624.51
2021,96,45595.44,0.00,596.93,229.89,4.50,-6.40,367.85
2021,97,45752.91,0.00,598.26,229.61,5.72,-5.33,392.99
2021,98,45909.95,0.00,569.37,227.70,8.91,-1.44,516.66
2021,99,46066.50,0.00,614.04,227.70,3.78,-7.65,332.68
2021,100,46222.55,0.00,657.06,226.99,8.68,-4.31,395.10
2021,101,46378.07,0.00,581.01,225.30,8.59,-1.98,492.28
2021,102,46533.01,0.00,638.70,225.03,6.81,-5.37,375.45
2021,103,46687.35,2.15,389.46,223.37,7.19,-2.03,526.14
2021,104,46841.05,0.00,614.15,221.67,9.54,-1.97,478.29
2021,105,46994.08,3.50,406.48,225.17,2.34,-7.13,357.90
2021,106,47146.40,0.00,496.21,225.17,-0.06,-8.31,326.54
2021,107,47297.98,0.00,667.70,225.17,2.55,-10.03,273.07
2021,108,47448.78,0.00,737.78,225.17,5.34,-10.29,248.95
2021,109,47598.76,0.00,751.50,225.17,6.77,-9.82,251.44
2021,110,47747.88,0.00,738.55,225.17,2.10,-13.68,198.04
2021,111,47896.10,0.00,638.65,225.17,5.61,-6.45,351.26
2021,112,48043.39,0.00,518.32,224.56,4.44,-4.54,436.24
2021,113,48189.70,0.00,608.15,224.46,5.29,-5.77,369.75
2021,114,48335.00,0.00,695.96,223.66,10.09,-4.10,358.51
2021,115,48479.23,0.00,468.80,219.59,11.94,3.69,724.87
2021,116,48622.35,0.00,481.13,216.79,9.06,0.68,588.23
2021,117,48764.33,5.95,407.14,215.44,6.86,-2.80,496.85
2021,118,48905.11,0.00,631.18,214.28,8.44,-3.23,401.11
2021,119,49044.65,0.00,738.13,212.37,14.73,-1.46,386.09
2021,120,49182.91,0.00,706.88,208.59,17.85,3.01,510.67
2021,121,49319.83,0.00,645.14,203.82,17.80,5.35,626.89
2021,122,49455.36,9.34,439.41,201.48,10.20,-0.42,550.55
2021,123,49589.47,8.16,330.23,200.22,4.14,-3.02,488.96
2021,124,49722.09,3.05,431.90,199.30,6.19,-3.80,461.05
2021,125,49853.19,0.00,666.21,197.96,9.59,-2.80,391.57
2021,126,49982.69,0.00,747.45,195.32,16.74,0.30,411.40
2021,127,50110.57,0.00,645.95,190.61,17.60,5.21,612.28
2021,128,50236.75,0.00,672.48,188.93,11.00,-2.01,386.12
2021,129,50361.20,5.00,479.14,188.57,6.84,-5.15,384.36
2021,130,50483.85,10.86,372.95,187.79,4.20,-4.14,449.70
2021,131,50604.65,8.02,418.16,187.37,4.63,-4.99,421.55
2021,132,50723.55,0.00,736.54,186.70,11.15,-4.41,321.63
2021,133,50840.50,0.00,691.00,183.65,15.24,1.25,471.87
2021,134,50955.43,0.00,643.84,179.64,15.98,3.57,535.48
2021,135,51068.29,0.00,683.85,175.80,17.06,3.13,456.54
2021,136,51179.03,0.00,657.78,171.47,17.58,4.33,508.66
2021,137,51287.59,3.46,438.34,168.82,11.28,0.30,520.57
2021,138,51393.91,0.00,670.53,166.15,13.79,0.35,382.02
2021,139,51497.94,0.00,698.29,162.63,17.03,2.39,399.84
2021,140,51599.62,0.00,648.57,158.54,16.47,3.74,472.27
2021,141,51698.91,4.07,314.60,154.56,10.63,3.47,748.46
2021,142,51795.73,0.00,624.46,150.83,14.83,2.89,481.37
2021,143,51890.04,0.00,553.25,148.49,9.44,-0.44,443.46
2021,144,51981.79,0.00,683.16,146.76,11.94,-1.88,332.17
2021,145,52070.91,0.00,695.63,144.25,14.70,-0.02,357.94
2021,146,52157.36,0.00,555.28,139.91,14.67,4.32,569.77
2021,147,52241.08,0.00,654.36,136.47,15.65,2.19,426.67
2021,148,52322.03,0.00,663.75,132.29,17.95,3.95,447.65
2021,149,52400.14,0.00,638.55,127.70,18.01,4.94,495.52
2021,150,52475.38,3.04,460.33,124.34,14.32,2.01,539.44
2021,151,52547.69,0.00,632.09,121.30,13.95,1.24,416.36
2021,152,52617.02,0.00,590.76,117.35,14.96,3.41,503.94
2021,153,52683.33,0.00,592.03,112.59,17.20,5.33,548.48
2021,154,52746.58,0.00,621.68,107.22,19.87,6.77,561.16
2021,155,52806.72,0.00,638.45,101.06,22.73,8.68,602.36
2021,156,52863.71,0.00,626.01,95.01,21.93,8.39,606.58
2021,157,52917.52,0.00,609.11,89.29,20.58,7.63,599.48
2021,158,52968.09,0.00,600.85,83.16,21.39,8.59,640.96
2021,159,53015.40,0.00,601.10,77.55,20.15,7.37,550.95
2021,160,53059.42,0.00,661.80,72.27,22.23,6.56,459.02
2021,161,53100.11,0.00,629.12,66.97,21.06,6.63,494.34
2021,162,53137.44,0.00,666.99,62.97,19.72,3.52,381.70
2021,163,53171.38,0.00,654.13,57.38,23.16,7.30,428.75
2021,164,53201.92,0.00,652.47,51.04,25.28,9.11,450.29
2021,165,53229.02,0.00,636.30,44.32,25.58,9.99,474.20
2021,166,53252.67,0.00,623.49,37.22,26.17,10.90,513.26
2021,167,53272.85,0.00,577.36,29.45,26.16,12.51,629.12
2021,168,53289.54,0.00,583.93,21.83,26.20,12.15,605.60
2021,169,53302.73,0.78,556.94,14.91,23.45,10.48,592.18
2021,170,53312.42,0.00,518.92,8.59,20.65,9.05,545.38
2021,171,53318.59,0.00,555.00,2.04,22.64,9.59,464.39
2021,172,53321.24,0.00,506.25,0.00,20.84,7.45,464.03
2021,173,53320.37,0.00,467.20,0.00,23.81,11.68,649.20
2021,174,53315.97,0.00,435.58,0.00,19.66,8.83,607.88
2021,175,53308.06,7.88,350.87,0.00,17.03,5.14,557.01
2021,176,53296.63,3.36,291.03,0.00,13.87,4.58,651.91
2021,177,53281.70,7.39,265.95,0.00,12.75,4.48,704.17
2021,178,53263.28,5.38,355.78,0.00,14.96,3.05,557.72
2021,179,53241.38,0.00,525.00,0.00,17.29,3.47,429.79
2021,180,53216.02,4.81,355.79,0.00,17.48,5.40,665.95
2021,181,53187.21,0.76,482.59,0.00,18.20,6.00,571.64
2021,182,53154.98,0.00,455.40,0.00,19.49,8.16,688.89
2021,183,53119.36,0.00,495.19,0.00,21.60,8.72,652.52
2021,184,53080.36,0.00,470.60,0.00,22.13,10.15,746.67
2021,185,53038.02,0.00,494.93,0.00,24.73,11.71,772.85
2021,186,52992.36,7.20,391.35,0.00,23.92,9.38,809.63
2021,187,52943.43,0.00,498.80,0.00,22.06,8.97,700.67
2021,188,52891.25,0.00,528.02,0.00,24.76,10.14,703.39
