date,prcp(mm/day),location
2021-07-25,2.91,SW
2021-07-26,0.0,SW
2021-07-27,0.0,SW
2021-07-28,14.8,SW
2021-07-29,12.16,SW
2021-07-30,18.45,SW
2021-07-31,14.31,SW
2021-08-01,10.28,SW
2021-08-02,8.2,SW
2021-08-03,0.0,SW
2021-08-04,0.0,SW
2021-08-05,0.0,SW
2021-08-06,0.0,SW
2021-08-07,0.0,SW
2021-08-08,0.0,SW
2021-08-09,0.0,SW
2021-08-10,0.0,SW
2021-08-11,0.0,SW
2021-08-12,0.0,SW
2021-08-13,0.0,SW
2021-08-14,0.0,SW
2021-08-15,0.0,SW
2021-08-16,0.0,SW
2021-07-25,3.56,NW
2021-07-26,0.0,NW
2021-07-27,0.0,NW
2021-07-28,19.01,NW
2021-07-29,10.42,NW
2021-07-30,16.72,NW
2021-07-31,13.07,NW
2021-08-01,15.13,NW
2021-08-02,8.2,NW
2021-08-03,0.0,NW
2021-08-04,0.0,NW
2021-08-05,0.0,NW
2021-08-06,0.0,NW
2021-08-07,0.0,NW
2021-08-08,0.0,NW
2021-08-09,0.0,NW
2021-08-10,0.0,NW
2021-08-11,0.0,NW
2021-08-12,0.0,NW
2021-08-13,0.0,NW
2021-08-14,0.0,NW
2021-08-15,0.0,NW
2021-08-16,0.0,NW
2021-07-25,3.31,SE
2021-07-26,0.0,SE
2021-07-27,0.0,SE
2021-07-28,7.27,SE
2021-07-29,7.85,SE
2021-07-30,14.1,SE
2021-07-31,10.5,SE
2021-08-01,5.16,SE
2021-08-02,5.92,SE
2021-08-03,0.0,SE
2021-08-04,0.0,SE
2021-08-05,0.0,SE
2021-08-06,0.16,SE
2021-08-07,0.0,SE
2021-08-08,0.0,SE
2021-08-09,0.0,SE
2021-08-10,0.0,SE
2021-08-11,0.0,SE
2021-08-12,0.0,SE
2021-08-13,0.0,SE
2021-08-14,0.0,SE
2021-08-15,0.0,SE
2021-08-16,0.0,SE
2021-07-25,4.07,NE
2021-07-26,0.0,NE
2021-07-27,0.0,NE
2021-07-28,19.51,NE
2021-07-29,9.89,NE
2021-07-30,15.43,NE
2021-07-31,12.19,NE
2021-08-01,15.68,NE
2021-08-02,6.0,NE
2021-08-03,0.0,NE
2021-08-04,0.0,NE
2021-08-05,0.0,NE
2021-08-06,0.0,NE
2021-08-07,0.0,NE
2021-08-08,0.0,NE
2021-08-09,0.0,NE
2021-08-10,0.0,NE
2021-08-11,0.0,NE
2021-08-12,0.0,NE
2021-08-13,0.0,NE
2021-08-14,0.0,NE
2021-08-15,0.0,NE
2021-08-16,0.0,NE
2021-07-25,3.42,center
2021-07-26,0.0,center
2021-07-27,0.0,center
2021-07-28,15.44,center
2021-07-29,10.81,center
2021-07-30,17.09,center
2021-07-31,13.26,center
2021-08-01,11.61,center
2021-08-02,8.2,center
2021-08-03,0.0,center
2021-08-04,0.0,center
2021-08-05,0.0,center
2021-08-06,0.0,center
2021-08-07,0.0,center
2021-08-08,0.0,center
2021-08-09,0.0,center
2021-08-10,0.0,center
2021-08-11,0.0,center
2021-08-12,0.0,center
2021-08-13,0.0,center
2021-08-14,0.0,center
2021-08-15,0.0,center
2021-08-16,0.0,center
