Latitude: 39.610899757954286  Longitude: -107.1936458930649
X & Y on Lambert Conformal Conic: -589524.26 -280756.3
Tile: 11557
Elevation: 2458 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,1,33320.85,0.00,300.02,75.85,-0.02,-10.80,268.23
2021,2,33361.44,0.00,321.22,75.85,-0.91,-12.70,230.26
2021,3,33405.34,0.00,299.50,75.85,-0.23,-10.90,266.24
2021,4,33452.54,0.00,343.50,75.85,3.58,-9.62,294.73
2021,5,33502.99,3.30,209.87,79.15,0.66,-9.66,293.65
2021,6,33556.66,0.00,351.08,79.15,0.36,-12.95,225.61
2021,7,33613.52,0.00,352.94,79.15,2.00,-11.42,255.30
2021,8,33673.51,0.00,335.10,79.15,0.02,-12.11,241.47
2021,9,33736.61,0.00,342.14,79.15,0.61,-11.81,247.38
2021,10,33802.76,0.00,331.90,79.15,-2.15,-13.82,210.20
2021,11,33871.93,0.00,367.17,79.15,-1.13,-14.85,193.14
2021,12,33944.07,0.00,367.29,79.15,0.36,-13.32,218.86
2021,13,34019.13,0.00,372.01,79.15,3.28,-10.76,269.14
2021,14,34097.06,0.00,279.32,79.15,-1.30,-10.41,276.74
2021,15,34177.81,0.00,376.01,79.15,2.78,-11.20,259.79
2021,16,34261.34,0.00,301.70,79.15,2.24,-7.70,342.54
2021,17,34347.59,0.00,257.17,78.73,3.24,-5.00,421.40
2021,18,34436.50,0.00,317.33,78.73,1.10,-9.30,302.18
2021,19,34528.04,0.00,344.18,78.73,1.78,-9.78,290.90
2021,20,34622.13,0.00,342.77,78.73,3.24,-8.20,329.24
2021,21,34718.73,0.00,256.87,78.35,2.89,-5.10,418.06
2021,22,34817.79,5.78,168.20,77.36,3.53,-3.64,466.68
2021,23,34919.24,6.82,177.85,84.18,0.38,-7.05,359.97
2021,24,35023.03,6.10,203.52,90.28,-1.36,-9.85,289.40
2021,25,35129.11,2.17,243.77,92.45,-0.69,-11.22,259.48
2021,26,35237.43,0.00,310.78,92.45,-3.42,-12.66,231.07
2021,27,35347.92,0.00,399.13,92.45,-0.68,-13.73,211.81
2021,28,35460.52,0.00,397.82,92.45,7.03,-6.18,385.01
2021,29,35575.20,4.60,233.26,91.63,5.70,-4.04,452.93
2021,30,35691.88,1.91,253.62,93.54,-0.29,-7.48,348.36
2021,31,35810.51,0.00,416.76,93.54,3.18,-10.49,275.06
2021,32,35931.05,0.00,417.99,93.54,4.72,-8.94,310.75
2021,33,36053.43,0.00,400.88,93.50,6.86,-5.91,393.09
2021,34,36177.60,10.43,289.91,103.93,5.05,-7.51,347.43
2021,35,36303.51,2.31,217.83,106.24,-4.11,-12.33,237.31
