Unnamed: 0,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
217,2020,CO,Grizzly Creek Fire,grz2020,grz2020_6516,123.5,7132021,39.576728,-107.221868,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,6.13,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
219,2020,CO,Grizzly Creek Fire,grz2020,grz2020_5872,124.48,7132021,39.580585,-107.203615,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,5.35,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
221,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,7132021,39.587694,-107.194739,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.54,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
223,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,7132021,39.593441,-107.177952,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.24,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
225,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,7132021,39.599788,-107.171554,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,3.89,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
226,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,7132021,39.567466,-107.229297,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,3.95,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
228,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,7132021,39.603097,-107.159339,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.32,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
229,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,7132021,39.6085,-107.1543,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.29,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
230,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,7132021,39.608744,-107.153603,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.34,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
231,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,7132021,39.609181,-107.152192,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.43,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
232,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128.0,7132021,39.610049,-107.148402,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.67,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
233,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,7132021,39.610562,-107.146508,0,,7132021,East Fork Deadhorse,39.628533,-107.197311,4.8,0.255,20.655,1.016,0.508,0.254,0.01,0.01,0.01
240,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126.0,7142021,39.593441,-107.177952,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.24,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
242,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,7142021,39.599788,-107.171554,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,3.89,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
243,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,7142021,39.567466,-107.229297,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,3.95,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
244,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127.0,7142021,39.601577,-107.16548,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.05,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
245,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,7142021,39.603097,-107.159339,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.32,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
246,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,7142021,39.6085,-107.1543,1,Jason/Francis,7142021,East Fork Deadhorse,39.628533,-107.197311,4.29,8.0,,24.384,13.716,7.366,0.24,0.27,0.29
