sim_day_index,year,month,day_of_month,julian,disturbed_class,area_m2,peakro_area_weighted_mean,peakro_max,runvol_sum_m3,runoff_area_weighted_mean,date,classification,landuse_group,severity_group,flash_index,teff_proxy
8,1980,1,8,8,forest high sev fire,265.86,0.0002226428571428571,0.003117,8.0124,0.0006359071428571428,1980-01-08,"('forest', 'high')",forest,high,0.3501185033753805,2.8561758100737893
9,1980,1,9,9,forest high sev fire,265.86,0.07064993571428571,0.35514,7741.444999999999,0.038074214285714295,1980-01-09,"('forest', 'high')",forest,high,1.8555848633964864,0.5389136437390349
10,1980,1,10,10,forest high sev fire,265.86,0.09723429285714284,0.54872,3401.7690000000007,0.015832807142857144,1980-01-10,"('forest', 'high')",forest,high,6.141317327989396,0.16283151424897788
11,1980,1,11,11,forest high sev fire,265.86,55098.60644804286,204260.0,4439.315,0.021218928571428573,1980-01-11,"('forest', 'high')",forest,high,2596672.41267938,3.851082620653518e-07
12,1980,1,12,12,forest high sev fire,265.86,0.03471646428571428,0.28918,985.9581000000001,0.0017124214285714283,1980-01-12,"('forest', 'high')",forest,high,20.273318066730905,0.0493259167891727
13,1980,1,13,13,forest high sev fire,265.86,0.0034713378571428572,0.028717,587.8935,0.0008537,1980-01-13,"('forest', 'high')",forest,high,4.066226844492043,0.24592823721936766
14,1980,1,14,14,forest high sev fire,265.86,0.00149625,0.012335,354.43,0.0004588499999999999,1980-01-14,"('forest', 'high')",forest,high,3.260869565217392,0.3066666666666666
15,1980,1,15,15,forest high sev fire,265.86,0.0010313428571428569,0.0085217,483.42,0.0006254357142857143,1980-01-15,"('forest', 'high')",forest,high,1.6489989835657424,0.6064285120647146
16,1980,1,16,16,forest high sev fire,265.86,0.000997842857142857,0.0080947,256.49,0.00033352142857142854,1980-01-16,"('forest', 'high')",forest,high,2.9918403186773177,0.3342424372575127
17,1980,1,17,17,forest high sev fire,265.86,0.0,0.0,0.0,0.0,1980-01-17,"('forest', 'high')",forest,high,,
18,1980,1,18,18,forest high sev fire,265.86,0.0,0.0,0.0,0.0,1980-01-18,"('forest', 'high')",forest,high,,
28,1980,1,28,28,forest high sev fire,265.86,0.10177471428571426,0.51464,7822.206,0.04181428571428571,1980-01-28,"('forest', 'high')",forest,high,2.4339699350871196,0.41085141832871763
29,1980,1,29,29,forest high sev fire,265.86,0.07922842857142857,0.51806,2837.5429999999997,0.010638185714285712,1980-01-29,"('forest', 'high')",forest,high,7.44755080417848,0.13427233009796263
44,1980,2,13,44,forest high sev fire,265.86,0.12406377857142854,0.63445,9218.434000000001,0.04704435714285714,1980-02-13,"('forest', 'high')",forest,high,2.637165987722833,0.37919494057463193
45,1980,2,14,45,forest high sev fire,265.86,0.17414714285714286,0.88289,9403.697000000002,0.05032128571428571,1980-02-14,"('forest', 'high')",forest,high,3.460705353315411,0.2889584341648687
46,1980,2,15,46,forest high sev fire,265.86,16542.146984428575,106920.0,19742.33,0.09620185714285713,1980-02-15,"('forest', 'high')",forest,high,171952.47031316598,5.815560533551884e-06
47,1980,2,16,47,forest high sev fire,265.86,0.14005325714285713,0.8157,8738.999,0.03582592857142857,1980-02-16,"('forest', 'high')",forest,high,3.9092708194184973,0.255802180558253
48,1980,2,17,48,forest high sev fire,265.86,0.13268121428571428,0.72029,9487.836000000001,0.04284371428571428,1980-02-17,"('forest', 'high')",forest,high,3.0968653511433586,0.3229071614724228
49,1980,2,18,49,forest high sev fire,265.86,0.1361849071428571,0.77647,9367.786,0.04076807142857143,1980-02-18,"('forest', 'high')",forest,high,3.340479506897028,0.2993582202600908
50,1980,2,19,50,forest high sev fire,265.86,0.007551894285714283,0.04648,2572.8215999999998,0.009318764285714286,1980-02-19,"('forest', 'high')",forest,high,0.8103965347950024,1.2339638153227785
51,1980,2,20,51,forest high sev fire,265.86,0.10254930714285715,0.63931,2252.6674999999996,0.008701071428571428,1980-02-20,"('forest', 'high')",forest,high,11.785825226778313,0.08484768616184143
52,1980,2,21,52,forest high sev fire,265.86,0.003023349285714285,0.019986,571.4194,0.0017784,1980-02-21,"('forest', 'high')",forest,high,1.7000389595784329,0.5882218136035983
61,1980,3,1,61,forest high sev fire,265.86,0.00010904999999999998,0.0015267,3.6969,0.0002934,1980-03-01,"('forest', 'high')",forest,high,0.3716768916155419,2.69050894085282
62,1980,3,2,62,forest high sev fire,265.86,0.11690452857142854,0.58422,7448.7300000000005,0.03982007142857141,1980-03-02,"('forest', 'high')",forest,high,2.9358191579623343,0.3406204354542296
63,1980,3,3,63,forest high sev fire,265.86,0.029420771428571427,0.05145,743.3696000000001,0.007174671428571427,1980-03-03,"('forest', 'high')",forest,high,4.100643732814047,0.2438641504010286
65,1980,3,5,65,forest high sev fire,265.86,0.08092050714285712,0.4054,2911.1829999999995,0.014186428571428572,1980-03-05,"('forest', 'high')",forest,high,5.704078847993554,0.1753131446196184
66,1980,3,6,66,forest high sev fire,265.86,0.026006378571428568,0.14584,795.3294999999999,0.0029322,1980-03-06,"('forest', 'high')",forest,high,8.86923762752492,0.1127492623375639
77,1980,3,17,77,forest high sev fire,265.86,9.054285714285714e-05,0.0012676,5.0884,0.0004038428571428571,1980-03-17,"('forest', 'high')",forest,high,0.22420319077434647,4.460239823288103
78,1980,3,18,78,forest high sev fire,265.86,0.00018920714285714283,0.0026489,3.875,0.0003075428571428571,1980-03-18,"('forest', 'high')",forest,high,0.6152220364176887,1.6254294235342972
85,1980,3,25,85,forest high sev fire,265.86,0.00022796428571428566,0.0031915,5.891,0.0004675357142857142,1980-03-25,"('forest', 'high')",forest,high,0.4875868917576961,2.0509164969450104
86,1980,3,26,86,forest high sev fire,265.86,7.707857142857142e-05,0.0010791,2.9122,0.0002311285714285714,1980-03-26,"('forest', 'high')",forest,high,0.3334878546263675,2.998609952738393
113,1980,4,22,113,forest high sev fire,265.86,0.00011987142857142857,0.0016782,2.3927,0.00018989999999999998,1980-04-22,"('forest', 'high')",forest,high,0.631234484315053,1.5841973543081873
118,1980,4,27,118,forest high sev fire,265.86,8.366428571428569e-05,0.0011713,1.5207,0.00012068571428571428,1980-04-27,"('forest', 'high')",forest,high,0.6932410037878787,1.44249978656194
119,1980,4,28,119,forest high sev fire,265.86,0.0019700928571428572,0.013194,21.127299999999998,0.0006328571428571428,1980-04-28,"('forest', 'high')",forest,high,3.113013544018059,0.32123213916675425
131,1980,5,10,131,forest high sev fire,265.86,0.0001798285714285714,0.0025176,2.0925,0.0001660714285714285,1980-05-10,"('forest', 'high')",forest,high,1.0828387096774197,0.92349857006673
141,1980,5,20,141,forest high sev fire,265.86,0.0001281142857142857,0.0017936,1.8866,0.00014973571428571428,1980-05-20,"('forest', 'high')",forest,high,0.8556027286170872,1.1687667261373773
