landuse_group,series,rank,peakro_area_weighted_mean
forest,undisturbed:forest:undisturbed,1,1.52850645813393
forest,undisturbed:forest:undisturbed,2,1.1041699736114263
forest,undisturbed:forest:undisturbed,5,0.9254629932255694
forest,undisturbed:forest:undisturbed,10,0.8051838334750221
forest,undisturbed:forest:undisturbed,25,0.5360327602701781
forest,undisturbed:forest:undisturbed,50,0.2856414138015944
forest,undisturbed:forest:undisturbed,100,0.06935993940295741
forest,burned:forest:low,1,333440.51600199996
forest,burned:forest:low,2,137104.2435526
forest,burned:forest:low,5,0.9563039999999999
forest,burned:forest:low,10,0.7506579999999999
forest,burned:forest:low,25,0.48939000000000005
forest,burned:forest:low,50,0.37923100000000004
forest,burned:forest:low,100,0.25969548000000003
forest,burned:forest:moderate,1,215860.14736808112
forest,burned:forest:moderate,2,126530.1233630448
forest,burned:forest:moderate,5,28070.47379484267
forest,burned:forest:moderate,10,10166.431913747188
forest,burned:forest:moderate,25,0.5688482808988761
forest,burned:forest:moderate,50,0.38717832584269596
forest,burned:forest:moderate,100,0.23710042471910087
forest,burned:forest:high,1,165094.77853528567
forest,burned:forest:high,2,55098.60644804286
forest,burned:forest:high,5,14114.924831071427
forest,burned:forest:high,10,0.642726714285714
forest,burned:forest:high,25,0.35813435714285713
forest,burned:forest:high,50,0.24103828571428568
forest,burned:forest:high,100,0.1743725714285714
