sim_day_index,year,month,day_of_month,julian,disturbed_class,area_m2,peakro_area_weighted_mean,peakro_max,runvol_sum_m3,runoff_area_weighted_mean,date,classification,landuse_group,severity_group,flash_index,teff_proxy
9,1980,1,9,9,forest,27705.06,0.03663876743569587,0.1685,100017.95100000003,0.030997375847697125,1980-01-09,"('forest', 'undisturbed')",forest,undisturbed,1.1819957797626879,0.8460267093345903
10,1980,1,10,10,forest,27705.06,0.013319251023863509,0.076437,32786.01799999998,0.009103023275531611,1980-01-10,"('forest', 'undisturbed')",forest,undisturbed,1.4631678532191463,0.6834485857517161
11,1980,1,11,11,forest,27705.06,0.042844323329326854,0.22724,46027.159499999994,0.012454776095882846,1980-01-11,"('forest', 'undisturbed')",forest,undisturbed,3.4399914538399314,0.29069839661483404
12,1980,1,12,12,forest,27705.06,0.0012692818548308501,0.037204,1549.629,0.0002866528476386623,1980-01-12,"('forest', 'undisturbed')",forest,undisturbed,4.427940853498278,0.22583860830253724
13,1980,1,13,13,forest,27705.06,0.0009585182611407446,0.027891,1136.813,0.0002137313090821676,1980-01-13,"('forest', 'undisturbed')",forest,undisturbed,4.4846881126445,0.22298094647440864
14,1980,1,14,14,forest,27705.06,0.000261578167129037,0.0108,428.84800000000007,7.702909652604972e-05,1980-01-14,"('forest', 'undisturbed')",forest,undisturbed,3.3958358454921824,0.2944783097591288
15,1980,1,15,15,forest,27705.06,0.00027897212705549086,0.0085166,904.996,0.00016923964474359555,1980-01-15,"('forest', 'undisturbed')",forest,undisturbed,1.648385208313006,0.6066543153608023
16,1980,1,16,16,forest,27705.06,6.421723104010602e-05,0.0062223,114.24,1.423815822813594e-05,1980-01-16,"('forest', 'undisturbed')",forest,undisturbed,4.5102203537257175,0.22171865708821495
17,1980,1,17,17,forest,27705.06,0.0,0.0,0.0,0.0,1980-01-17,"('forest', 'undisturbed')",forest,undisturbed,,
18,1980,1,18,18,forest,27705.06,0.0,0.0,0.0,0.0,1980-01-18,"('forest', 'undisturbed')",forest,undisturbed,,
28,1980,1,28,28,forest,27705.06,0.01780450704912388,0.11904,35091.22899999999,0.011969810838958655,1980-01-28,"('forest', 'undisturbed')",forest,undisturbed,1.4874509955641728,0.6722910556261462
29,1980,1,29,29,forest,27705.06,0.019920123290767096,0.44245,56726.16339999998,0.015468209035389193,1980-01-29,"('forest', 'undisturbed')",forest,undisturbed,1.2878105826726622,0.7765117117803508
44,1980,2,13,44,forest,27705.06,0.009167846984381191,0.080738,18086.323300000007,0.006359880465445665,1980-02-13,"('forest', 'undisturbed')",forest,undisturbed,1.4415124677565399,0.6937158174957194
45,1980,2,14,45,forest,27705.06,1.1041699736114263,7.5197,187471.83099999998,0.055397392094440494,1980-02-14,"('forest', 'undisturbed')",forest,undisturbed,19.93180422156077,0.050171072768127684
46,1980,2,15,46,forest,27705.06,0.8603364472572882,5.3503,304876.2140000001,0.08743941313207768,1980-02-15,"('forest', 'undisturbed')",forest,undisturbed,9.839229432587175,0.1016339751859059
47,1980,2,16,47,forest,27705.06,0.2967037394051663,4.0063,96672.5468,0.024679260880214653,1980-02-16,"('forest', 'undisturbed')",forest,undisturbed,12.022391628552924,0.0831781255257915
48,1980,2,17,48,forest,27705.06,0.33106530742672985,2.0717,104674.573,0.02786284892961791,1980-02-17,"('forest', 'undisturbed')",forest,undisturbed,11.881961828921629,0.084161186039659
49,1980,2,18,49,forest,27705.06,0.12063464537270087,0.77173,107548.96900000001,0.028482531861327855,1980-02-18,"('forest', 'undisturbed')",forest,undisturbed,4.235390517950846,0.2361057370652605
50,1980,2,19,50,forest,27705.06,0.006965467385993747,0.052859,18670.692300000006,0.0039041834816816857,1980-02-19,"('forest', 'undisturbed')",forest,undisturbed,1.784103492747079,0.560505600748669
51,1980,2,20,51,forest,27705.06,0.030821684908132294,0.7341,15698.8704,0.003239061337604033,1980-02-20,"('forest', 'undisturbed')",forest,undisturbed,9.515622489239865,0.10509033971563986
52,1980,2,21,52,forest,27705.06,0.001224990180746766,0.029625,1638.7440000000004,0.0003286582996030327,1980-02-21,"('forest', 'undisturbed')",forest,undisturbed,3.7272455380751395,0.2682946400457507
62,1980,3,2,62,forest,27705.06,0.015735597955878814,0.13813,38302.204699999995,0.012363508556234856,1980-03-02,"('forest', 'undisturbed')",forest,undisturbed,1.272745344438932,0.7857031293568258
63,1980,3,3,63,forest,27705.06,0.025444562789035646,0.64902,12352.711000000003,0.0025680389788002625,1980-03-03,"('forest', 'undisturbed')",forest,undisturbed,9.908168450356952,0.10092682668954564
65,1980,3,5,65,forest,27705.06,0.00800008012935543,0.07637,23337.0043,0.004591376361610476,1980-03-05,"('forest', 'undisturbed')",forest,undisturbed,1.7424143653841773,0.5739162967584432
66,1980,3,6,66,forest,27705.06,0.006546315212744529,0.32409,3074.5638,0.0006459506789373491,1980-03-06,"('forest', 'undisturbed')",forest,undisturbed,10.134388624707146,0.09867393456395077
339,1980,12,4,339,forest,27705.06,0.0015387950395992641,0.037148,1127.2091999999998,0.0002705724806226732,1980-12-04,"('forest', 'undisturbed')",forest,undisturbed,5.6871823625891595,0.17583399586025192
394,1981,1,28,28,forest,27705.06,0.059765157923198864,0.89352,61092.9922,0.018841791552265178,1981-01-28,"('forest', 'undisturbed')",forest,undisturbed,3.1719466674608148,0.3152638126795849
395,1981,1,29,29,forest,27705.06,0.003122303273517545,0.056913,1750.1173999999999,0.0003434222613486489,1981-01-29,"('forest', 'undisturbed')",forest,undisturbed,9.091732321766184,0.10999003980857824
426,1981,3,1,60,forest,27705.06,0.030085326802984712,0.23034,25694.554799999998,0.008525526095557994,1981-03-01,"('forest', 'undisturbed')",forest,undisturbed,3.5288528198464957,0.2833782112917647
427,1981,3,2,61,forest,27705.06,0.0027770333333225045,0.043511,2344.2644999999998,0.0005371730260465055,1981-03-02,"('forest', 'undisturbed')",forest,undisturbed,5.169718505340743,0.19343412972426216
429,1981,3,4,63,forest,27705.06,0.0,0.0,0.0,0.0,1981-03-04,"('forest', 'undisturbed')",forest,undisturbed,,
430,1981,3,5,64,forest,27705.06,0.009877016965117561,0.13127,12213.387699999997,0.0030798779127711676,1981-03-05,"('forest', 'undisturbed')",forest,undisturbed,3.206950809368467,0.311822681245593
444,1981,3,19,78,forest,27705.06,0.000531557908190778,0.010253,1889.9279,0.00048360166063527734,1981-03-19,"('forest', 'undisturbed')",forest,undisturbed,1.0991647702212262,0.9097817061574239
445,1981,3,20,79,forest,27705.06,0.0,0.0,0.0,0.0,1981-03-20,"('forest', 'undisturbed')",forest,undisturbed,,
697,1981,11,27,331,forest,27705.06,0.01640688571278676,0.1231,9810.981300000001,0.003719363923088419,1981-11-27,"('forest', 'undisturbed')",forest,undisturbed,4.41120741397177,0.22669530270389587
698,1981,11,28,332,forest,27705.06,0.001767263034622556,0.079812,525.236,0.00020395823788145554,1981-11-28,"('forest', 'undisturbed')",forest,undisturbed,8.664827922516782,0.11540910090105293
736,1982,1,5,5,forest,27705.06,0.0,0.0,0.0,0.0,1982-01-05,"('forest', 'undisturbed')",forest,undisturbed,,
751,1982,1,20,20,forest,27705.06,0.005760700203063987,0.056617,11980.211899999998,0.004231802914232995,1982-01-20,"('forest', 'undisturbed')",forest,undisturbed,1.361287451192207,0.7345987058972785
752,1982,1,21,21,forest,27705.06,0.0,0.0,0.0,0.0,1982-01-21,"('forest', 'undisturbed')",forest,undisturbed,,
804,1982,3,14,73,forest,27705.06,0.0,0.0,0.0,0.0,1982-03-14,"('forest', 'undisturbed')",forest,undisturbed,,
805,1982,3,15,74,forest,27705.06,0.0,0.0,0.0,0.0,1982-03-15,"('forest', 'undisturbed')",forest,undisturbed,,
806,1982,3,16,75,forest,27705.06,0.21960584903681843,2.0556,54379.609000000004,0.0176278922078133,1982-03-16,"('forest', 'undisturbed')",forest,undisturbed,12.457862031824849,0.08027059518281712
807,1982,3,17,76,forest,27705.06,0.05316764688345015,0.26444,37624.7191,0.010820078499775851,1982-03-17,"('forest', 'undisturbed')",forest,undisturbed,4.913794930836368,0.20350869624707596
808,1982,3,18,77,forest,27705.06,0.0,0.0,0.0,0.0,1982-03-18,"('forest', 'undisturbed')",forest,undisturbed,,
819,1982,3,29,88,forest,27705.06,0.0,0.0,0.0,0.0,1982-03-29,"('forest', 'undisturbed')",forest,undisturbed,,
821,1982,3,31,90,forest,27705.06,0.0,0.0,0.0,0.0,1982-03-31,"('forest', 'undisturbed')",forest,undisturbed,,
822,1982,4,1,91,forest,27705.06,0.0,0.0,0.0,0.0,1982-04-01,"('forest', 'undisturbed')",forest,undisturbed,,
831,1982,4,10,100,forest,27705.06,0.0,0.0,0.0,0.0,1982-04-10,"('forest', 'undisturbed')",forest,undisturbed,,
832,1982,4,11,101,forest,27705.06,0.0,0.0,0.0,0.0,1982-04-11,"('forest', 'undisturbed')",forest,undisturbed,,
1044,1982,11,9,313,forest,27705.06,0.3172760762280971,2.8175,71850.33689999995,0.02296535310362077,1982-11-09,"('forest', 'undisturbed')",forest,undisturbed,13.815423381322827,0.07238287039048745
1045,1982,11,10,314,forest,27705.06,0.0,0.0,0.0,0.0,1982-11-10,"('forest', 'undisturbed')",forest,undisturbed,,
1064,1982,11,29,333,forest,27705.06,0.0,0.0,0.0,0.0,1982-11-29,"('forest', 'undisturbed')",forest,undisturbed,,
1065,1982,11,30,334,forest,27705.06,0.795552156136099,3.1863,132347.92000000004,0.04189657886718165,1982-11-30,"('forest', 'undisturbed')",forest,undisturbed,18.98847537547438,0.052663522490679036
1087,1982,12,22,356,forest,27705.06,0.14127419488773169,0.97713,74038.18830000001,0.023188368401800972,1982-12-22,"('forest', 'undisturbed')",forest,undisturbed,6.092459479674273,0.1641373247267726
1088,1982,12,23,357,forest,27705.06,0.0,0.0,0.0,0.0,1982-12-23,"('forest', 'undisturbed')",forest,undisturbed,,
1115,1983,1,19,19,forest,27705.06,0.0,0.0,0.0,0.0,1983-01-19,"('forest', 'undisturbed')",forest,undisturbed,,
1117,1983,1,21,21,forest,27705.06,0.0,0.0,0.0,0.0,1983-01-21,"('forest', 'undisturbed')",forest,undisturbed,,
1118,1983,1,22,22,forest,27705.06,0.10452147766913328,1.3037,121586.63100000001,0.03759426896963947,1983-01-22,"('forest', 'undisturbed')",forest,undisturbed,2.780250302341113,0.3596798457886863
1119,1983,1,23,23,forest,27705.06,0.266425720763236,1.2058,43843.29950000001,0.012881994083499543,1983-01-23,"('forest', 'undisturbed')",forest,undisturbed,20.682024773206415,0.04835116537020597
1120,1983,1,24,24,forest,27705.06,0.05416411857751254,0.38671,42842.259,0.011713797866707381,1983-01-24,"('forest', 'undisturbed')",forest,undisturbed,4.623958787222737,0.21626490330391213
1122,1983,1,26,26,forest,27705.06,8.614828803835832e-05,0.0083473,102.17,2.4933289695095403e-05,1983-01-26,"('forest', 'undisturbed')",forest,undisturbed,3.45515128937456,0.28942292717405627
1123,1983,1,27,27,forest,27705.06,0.10955509053548335,0.58454,152718.75100000002,0.04226407240753132,1983-01-27,"('forest', 'undisturbed')",forest,undisturbed,2.592156512488867,0.3857791746686804
1124,1983,1,28,28,forest,27705.06,0.0064889655762521365,0.13476,6644.81,0.001369077543741107,1983-01-28,"('forest', 'undisturbed')",forest,undisturbed,4.7396625603255105,0.21098548415044172
1125,1983,1,29,29,forest,27705.06,0.06935993940295741,1.1564,82220.45899999999,0.020254049056959263,1983-01-29,"('forest', 'undisturbed')",forest,undisturbed,3.4244974527266403,0.29201364982876066
1128,1983,2,1,32,forest,27705.06,4.053581768095791e-05,0.0039277,83.424,2.03582131928247e-05,1983-02-01,"('forest', 'undisturbed')",forest,undisturbed,1.9911284599006387,0.502227766886473
1129,1983,2,2,33,forest,27705.06,0.0020894742827627876,0.038939,3425.589,0.0007619984455908052,1983-02-02,"('forest', 'undisturbed')",forest,undisturbed,2.7420978282216075,0.36468429014750064
1131,1983,2,4,35,forest,27705.06,0.0,0.0,0.0,0.0,1983-02-04,"('forest', 'undisturbed')",forest,undisturbed,,
1133,1983,2,6,37,forest,27705.06,0.0,0.0,0.0,0.0,1983-02-06,"('forest', 'undisturbed')",forest,undisturbed,,
1134,1983,2,7,38,forest,27705.06,0.0,0.0,0.0,0.0,1983-02-07,"('forest', 'undisturbed')",forest,undisturbed,,
1135,1983,2,8,39,forest,27705.06,0.0004019328037188874,0.016849,658.9529999999999,0.00014497409123098812,1983-02-08,"('forest', 'undisturbed')",forest,undisturbed,2.772445754314027,0.3606923592441668
1153,1983,2,26,57,forest,27705.06,0.017388142854915307,0.59595,16527.214199999995,0.005846013021303686,1983-02-26,"('forest', 'undisturbed')",forest,undisturbed,2.9743592413411486,0.33620686637337616
1154,1983,2,27,58,forest,27705.06,0.006650038032153691,0.085506,10723.6199,0.002933615486593423,1983-02-27,"('forest', 'undisturbed')",forest,undisturbed,2.2668403758243914,0.4411426630056939
1155,1983,2,28,59,forest,27705.06,0.13099658650376497,3.1215,111189.256,0.03176089894358645,1983-02-28,"('forest', 'undisturbed')",forest,undisturbed,4.124460920846115,0.24245592798460902
1156,1983,3,1,60,forest,27705.06,0.25535514320672814,2.3773,350351.3320000001,0.0990340942455999,1983-03-01,"('forest', 'undisturbed')",forest,undisturbed,2.5784568955965748,0.3878288606289193
1157,1983,3,2,61,forest,27705.06,0.36888542024792564,2.259,85853.31499999999,0.02355256464393147,1983-03-02,"('forest', 'undisturbed')",forest,undisturbed,15.662218778496053,0.06384791415204735
1158,1983,3,3,62,forest,27705.06,0.0009527965559359913,0.033329,943.255,0.00018623403977468373,1983-03-03,"('forest', 'undisturbed')",forest,undisturbed,5.116124619799567,0.19546044600437756
1161,1983,3,6,65,forest,27705.06,0.0,0.0,0.0,0.0,1983-03-06,"('forest', 'undisturbed')",forest,undisturbed,,
