landuse_group,series,rank,flash_index
shrub,undisturbed:shrub:undisturbed,1,1203591.0690993576
shrub,undisturbed:shrub:undisturbed,2,75055.68204995444
shrub,undisturbed:shrub:undisturbed,5,29.16022223038662
shrub,undisturbed:shrub:undisturbed,10,26.993110748836454
shrub,undisturbed:shrub:undisturbed,25,24.095851692835566
shrub,undisturbed:shrub:undisturbed,50,18.776513825667
shrub,undisturbed:shrub:undisturbed,100,10.627222466513636
shrub,burned:shrub:low,1,5764401.83011418
shrub,burned:shrub:low,2,4428791.246168272
shrub,burned:shrub:low,5,2063797.8141164507
shrub,burned:shrub:low,10,269354.5118959786
shrub,burned:shrub:low,25,27.478062082308647
shrub,burned:shrub:low,50,22.94785785612782
shrub,burned:shrub:low,100,17.716130065293587
shrub,burned:shrub:moderate,1,20791376.114580624
shrub,burned:shrub:moderate,2,12200439.602682022
shrub,burned:shrub:moderate,5,6070192.631069131
shrub,burned:shrub:moderate,10,2694298.5459733265
shrub,burned:shrub:moderate,25,31.556059467548746
shrub,burned:shrub:moderate,50,26.21418737265375
shrub,burned:shrub:moderate,100,21.54474575128609
