AFFGEOID,par,cli,lng,lat
0500000US01005,al018438.par,0500000US01005.cli,-85.3934762336367,31.8695447202643
0500000US01023,al018178.par,0500000US01023.cli,-88.2641679173519,32.0199055087318
0500000US01035,al012758.par,0500000US01035.cli,-86.9942090167777,31.4299974764999
0500000US01051,al015550.par,0500000US01051.cli,-86.1491441139146,32.596715474344
0500000US01065,al013511.par,0500000US01065.cli,-87.6298161849686,32.7627970963994
0500000US01109,al018323.par,0500000US01109.cli,-85.9417638224679,31.8027503548263
0500000US01113,ga092166.par,0500000US01113.cli,-85.1852548104504,32.288642582492
0500000US01117,al011620.par,0500000US01117.cli,-86.6608598272624,33.2649508792311
0500000US04015,az027716.par,0500000US04015.cli,-113.762445873435,35.6987861347519
0500000US05011,ar032540.par,0500000US05011.cli,-92.162587222879,33.4666531940562
0500000US05015,mo231383.par,0500000US05015.cli,-93.5390790900142,36.341532153311
0500000US05019,ar030220.par,0500000US05019.cli,-93.1765218341817,34.0509412895286
0500000US05025,ar032540.par,0500000US05025.cli,-92.1855196441799,33.8986479355002
0500000US05063,ar030460.par,0500000US05063.cli,-91.5704716963724,35.7418346823973
0500000US05067,ar035186.par,0500000US05067.cli,-91.2154655738211,35.5992120490952
0500000US05091,tx418942.par,0500000US05091.cli,-93.8921900895748,33.3123619111499
0500000US05121,ar035820.par,0500000US05121.cli,-91.0280031284214,36.3420390582187
0500000US06001,ca044997.par,0500000US06001.cli,-121.889527600497,37.6473344136478
0500000US06005,ca040212.par,0500000US06005.cli,-120.651643944312,38.4473815995967
0500000US06013,ca045915.par,0500000US06013.cli,-121.928673530829,37.9195216399355
0500000US06023,ca042910.par,0500000US06023.cli,-123.877042485853,40.6972848297588
0500000US06037,ca041194.par,0500000US06037.cli,-118.260571098768,34.2647398535693
0500000US06047,ca045118.par,0500000US06047.cli,-120.71846687362,37.192553938995
0500000US06067,ca047630.par,0500000US06067.cli,-121.345154029845,38.4496255099625
0500000US06085,ca045933.par,0500000US06085.cli,-121.695341243681,37.2318122265662
0500000US06115,ca046136.par,0500000US06115.cli,-121.352540247257,39.26921209891
0500000US08013,co050848.par,0500000US08013.cli,-105.357932834371,40.0930634286888
0500000US08029,co056306.par,0500000US08029.cli,-107.863868390885,38.8621894402518
0500000US08049,co053500.par,0500000US08049.cli,-106.118864468329,40.1028486991291
0500000US08091,co051609.par,0500000US08091.cli,-107.770005692594,38.1558186783277
0500000US09009,ct060806.par,0500000US09009.cli,-72.9319616871233,41.4109690692881
0500000US11001,dc448906.par,0500000US11001.cli,-77.0172685670062,38.9054616091413
0500000US12009,fl085612.par,0500000US12009.cli,-80.7326379143036,28.2936057571791
0500000US12023,fl084731.par,0500000US12023.cli,-82.6219148939792,30.2242971705644
0500000US12039,fl088758.par,0500000US12039.cli,-84.6137753706389,30.5797539319504
0500000US12065,fl088758.par,0500000US12065.cli,-83.8962684612786,30.437888219576
0500000US12073,fl088758.par,0500000US12073.cli,-84.2783449321264,30.4582625627538
0500000US12095,fl084625.par,0500000US12095.cli,-81.323825363602,28.5145277931002
0500000US12107,fl082915.par,0500000US12107.cli,-81.7442685977434,29.6089034134284
0500000US12117,fl082229.par,0500000US12117.cli,-81.2364664294064,28.7174964056862
0500000US12123,fl087025.par,0500000US12123.cli,-83.6036860892524,30.0476275158799
0500000US12133,fl081544.par,0500000US12133.cli,-85.6656141913544,30.6110246252315
0500000US13009,ga095874.par,0500000US13009.cli,-83.2497439495784,33.0697194074458
0500000US13013,ga090435.par,0500000US13013.cli,-83.7130691741037,33.9938620425246
0500000US13027,ga096087.par,0500000US13027.cli,-83.5806950957226,30.8420262042617
0500000US13073,ga090311.par,0500000US13073.cli,-82.2647792493522,33.544126645352
0500000US13103,ga091266.par,0500000US13103.cli,-81.3417848021062,32.3678888435064
0500000US13149,ga091640.par,0500000US13149.cli,-85.1289496983399,33.297110441108
0500000US13179,ga093538.par,0500000US13179.cli,-81.4950118088024,31.8288282743034
0500000US13189,ga090311.par,0500000US13189.cli,-82.4816397730398,33.4829072899608
0500000US13205,ga091500.par,0500000US13205.cli,-84.1952083047792,31.2253114001576
0500000US13229,ga099186.par,0500000US13229.cli,-82.2133805610805,31.3594329667736
0500000US13267,ga093754.par,0500000US13267.cli,-82.0584399767967,32.0463082784533
0500000US13291,ga090969.par,0500000US13291.cli,-83.9913943973519,34.8345485760916
0500000US13305,ga093754.par,0500000US13305.cli,-81.9168052515986,31.5521050875771
0500000US13319,ga095874.par,0500000US13319.cli,-83.1720539915407,32.8027785376305
0500000US15007,hi515580.par,0500000US15007.cli,-159.625372831466,22.0353098649883
0500000US16015,id103448.par,0500000US16015.cli,-115.731800951456,43.9892833087768
0500000US16027,id102444.par,0500000US16027.cli,-116.709549271928,43.6256616191328
0500000US16037,id101671.par,0500000US16037.cli,-114.280239662124,44.2415171753197
0500000US16039,id103631.par,0500000US16039.cli,-115.470423591267,43.3531509283828
0500000US16043,id100470.par,0500000US16043.cli,-111.483143891435,44.2286636634982
0500000US16061,id106424.par,0500000US16061.cli,-116.426751989419,46.2375824045196
0500000US16083,id104295.par,0500000US16083.cli,-114.667298085214,42.3561903569576
0500000US16085,id105708.par,0500000US16085.cli,-115.568511647663,44.7663214983795
0500000US17097,wi474174.par,0500000US17097.cli,-88.003921401814,42.3233979051681
0500000US17107,il115079.par,0500000US17107.cli,-89.367934766589,40.12452108859
0500000US17197,il114530.par,0500000US17197.cli,-87.9792201583636,41.4454045330788
0500000US18007,in129430.par,0500000US18007.cli,-87.3118102970986,40.6069857213954
0500000US18027,in128036.par,0500000US18027.cli,-87.0722567004877,38.7030271774412
0500000US18061,ky154954.par,0500000US18061.cli,-86.1118862445028,38.1953315798156
0500000US18103,in124662.par,0500000US18103.cli,-86.0458004206636,40.7693931647371
0500000US18123,in128698.par,0500000US18123.cli,-86.6381660598891,38.0802930026365
0500000US18157,in124715.par,0500000US18157.cli,-86.8944958205213,40.3891545730601
0500000US18175,in126705.par,0500000US18175.cli,-86.105651749418,38.5999978226181
0500000US19041,ia137844.par,0500000US19041.cli,-95.1516056297249,43.0827976108253
0500000US19045,ia135131.par,0500000US19045.cli,-90.5323820691589,41.8981828625742
0500000US19111,ia133007.par,0500000US19111.cli,-91.4793425111565,40.6423474958184
0500000US19135,ia130112.par,0500000US19135.cli,-92.8692701589918,41.0303590066595
0500000US20067,ks148287.par,0500000US20067.cli,-101.308957146254,37.5629813190772
0500000US20095,ks144313.par,0500000US20095.cli,-98.1365130573765,37.5594732765551
0500000US20199,ks147397.par,0500000US20199.cli,-101.764069374983,38.9166463467298
0500000US21013,ky150381.par,0500000US21013.cli,-83.6752212146967,36.7308877876902
0500000US21031,ky150909.par,0500000US21031.cli,-86.6821395325789,37.2078130462472
0500000US21065,ky152791.par,0500000US21065.cli,-83.964335846494,37.6927869503143
0500000US21069,ky152791.par,0500000US21069.cli,-83.6969859514622,38.3708117036559
0500000US21071,ky158551.par,0500000US21071.cli,-82.7465415582565,37.5577991396863
0500000US21099,ky153929.par,0500000US21099.cli,-85.8853461165135,37.3002202884205
0500000US21109,ky154898.par,0500000US21109.cli,-84.0064619458139,37.4204201419967
0500000US21127,wv464393.par,0500000US21127.cli,-82.7349993193277,38.0685561712746
0500000US21151,ky152040.par,0500000US21151.cli,-84.2787950214774,37.7209248554523
0500000US21155,ky153430.par,0500000US21155.cli,-85.2696114578452,37.5527580869856
0500000US21179,ky153929.par,0500000US21179.cli,-85.466989480797,37.8057853244425
0500000US21195,va443640.par,0500000US21195.cli,-82.3962580015477,37.4697111551319
0500000US21203,ky154898.par,0500000US21203.cli,-84.3163772888194,37.365003602825
0500000US21217,ky153430.par,0500000US21217.cli,-85.3286628805573,37.3670102213296
0500000US21237,ky158551.par,0500000US21237.cli,-83.4940542176791,37.7395868613742
0500000US22001,la162212.par,0500000US22001.cli,-92.4123792363098,30.2912192880252
0500000US22013,la160349.par,0500000US22013.cli,-93.056522547315,32.3477159724997
0500000US22029,ms226177.par,0500000US22029.cli,-91.6402945380565,31.4459228004711
0500000US22031,tx411578.par,0500000US22031.cli,-93.7378318161897,32.0561790189054
0500000US22033,la160549.par,0500000US22033.cli,-91.0960176746798,30.5382199109068
0500000US22069,la160349.par,0500000US22069.cli,-93.0965674066128,31.7233524885368
0500000US22071,la168539.par,0500000US22071.cli,-89.929487215836,30.0689111923879
0500000US22079,la160098.par,0500000US22079.cli,-92.5336762985531,31.1992227168952
0500000US22085,la165266.par,0500000US22085.cli,-93.5549350162814,31.5644317175746
0500000US22119,la166244.par,0500000US22119.cli,-93.3352823638834,32.7137591930061
