lane_id,element_id,integrated_interval_volume_m3,reported_outflow_volume_m3,difference_m3,relative_error,within_5pct_or_0_1m3
candidate-h106-low-interval,155,11.842200000000023,18.43,-6.587799999999977,0.35744981009223964,False
candidate-h106-low-interval,157,79.10760000000013,109.52,-30.412399999999863,0.27768809349890305,False
candidate-h106-low-interval,183,1228.379999999998,1479.49,-251.11000000000195,0.169727406065605,False
candidate-h106-low-interval,184,1262.939999999999,1553.26,-290.3200000000011,0.18691011163617235,False
candidate-h106-low-interval,185,1271.7600000000007,1598.57,-326.80999999999926,0.2044389673270481,False
candidate-h106-low-interval,191,1860.1200000000047,2291.49,-431.3699999999951,0.1882486940811416,False
candidate-h106-low-interval,197,2093.819999999998,2630.11,-536.2900000000022,0.2039040192235314,False
candidate-h106-low-interval,198,2137.7999999999984,2762.74,-624.9400000000014,0.22620297241144713,False
candidate-h106-low-interval,199,2207.5199999999977,2895.71,-688.1900000000023,0.2376584671807613,False
candidate-h106-low-interval,201,2527.4999999999977,3264.79,-737.2900000000022,0.22583075787416718,False
candidate-h106-high-interval,155,11.842200000000023,18.43,-6.587799999999977,0.35744981009223964,False
candidate-h106-high-interval,157,79.10760000000013,109.52,-30.412399999999863,0.27768809349890305,False
candidate-h106-high-interval,183,1228.379999999998,1479.49,-251.11000000000195,0.169727406065605,False
candidate-h106-high-interval,184,1262.939999999999,1553.26,-290.3200000000011,0.18691011163617235,False
candidate-h106-high-interval,185,1271.7600000000007,1598.57,-326.80999999999926,0.2044389673270481,False
candidate-h106-high-interval,191,1860.1200000000047,2291.49,-431.3699999999951,0.1882486940811416,False
candidate-h106-high-interval,197,2093.819999999998,2630.11,-536.2900000000022,0.2039040192235314,False
candidate-h106-high-interval,198,2137.7999999999984,2762.74,-624.9400000000014,0.22620297241144713,False
candidate-h106-high-interval,199,2207.5199999999977,2895.71,-688.1900000000023,0.2376584671807613,False
candidate-h106-high-interval,201,2527.4999999999977,3264.79,-737.2900000000022,0.22583075787416718,False
