trial_id,scenario,hillslope_id,family,direction,year,day,ofe,ordinal,runoff_post_m_baseline,surdra_raw_m_baseline,surdra_realized_m_baseline,added_rate_m_s_baseline,forcing_mode_baseline,solver_baseline,peak_m_s_baseline,runoff_post_m_mutant,surdra_raw_m_mutant,surdra_realized_m_mutant,added_rate_m_s_mutant,forcing_mode_mutant,solver_mutant,peak_m_s_mutant,baseline_event_present,mutant_event_present,event_presence_changed,solver_changed,forcing_mode_changed,surplus_depth_changed,peak_gt25pct_runoff_lt5pct,peak_twofold,surplus_rate_twofold,expected_response_reversal,candidate
burned-h106-ksat-minus,burned,106,ksat,minus,1981,64,1,1,0.005903972778469324,0.00583927147090435,0.00583927147090435,7.232599273265805e-06,1.0,HDRIVE,5.106548996991478e-06,0.005916662979871035,0.005840927362442017,0.005840926896780729,6.974676125537371e-06,1.0,HDRIVE,4.921782874589553e-06,True,True,False,False,False,False,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1982,356,1,1,0.0254187174141407,0.013477977365255356,0.013477977365255356,4.394923507788917e-06,1.0,HDRIVE,1.0812443179020192e-05,0.025448884814977646,0.01320335641503334,0.01320335641503334,3.855529030261096e-06,1.0,APPMTH,7.431361154885963e-06,True,True,False,True,False,True,True,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1983,27,1,1,0.048136577010154724,0.0466323085129261,0.0466323122382164,8.322304893226828e-06,1.0,HDRIVE,7.954038665047847e-06,0.048166658729314804,0.04606057330965996,0.04606057330965996,7.072840162436478e-06,1.0,HDRIVE,7.5046627898700535e-06,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1983,61,1,1,0.026605119928717613,0.010146167129278183,0.010146167129278183,3.1654726626584306e-06,1.0,HDRIVE,1.3146932360541541e-05,0.026632696390151978,0.009983023628592491,0.009983023628592491,2.9421321414702106e-06,1.0,HDRIVE,1.2974199307791423e-05,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1986,46,1,1,0.04386209696531296,0.03382398188114166,0.03382398188114166,7.845267646189313e-06,1.0,HDRIVE,1.2578448149724863e-05,0.0438753142952919,0.033566758036613464,0.033566758036613464,6.685889729851624e-06,1.0,HDRIVE,1.1469377568573691e-05,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1991,58,1,1,0.019982751458883286,0.01161850243806839,0.01161850243806839,4.521168648352614e-06,1.0,APPMTH,7.775992344249971e-06,0.020024774596095085,0.011325070634484291,0.011325070634484291,4.212037310935557e-06,1.0,APPMTH,7.447644748026505e-06,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1991,85,1,1,0.00953087117522955,0.008140267804265022,0.008140267804265022,5.624956429528538e-06,1.0,HDRIVE,8.48505715111969e-06,0.009652089327573776,0.006569381803274155,0.006569381803274155,4.021710537926992e-06,1.0,HDRIVE,6.733245299983537e-06,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1993,39,1,1,0.032691590487957,0.025929274037480354,0.025929274037480354,7.202575943665579e-06,1.0,APPMTH,9.08099718799349e-06,0.0327136255800724,0.025640826672315598,0.025640826672315598,6.811969797126949e-06,1.0,APPMTH,8.690992217452731e-06,True,True,False,False,False,True,False,False,False,True,True
burned-h106-ksat-minus,burned,106,ksat,minus,1995,3,1,1,0.10082188248634338,0.03555075824260712,0.03555075824260712,8.170566616172437e-06,1.0,APPMTH,3.0225310183595866e-05,0.10085467249155045,0.035201482474803925,0.035201482474803925,7.749243195576128e-06,1.0,HDRIVE,3.650954022305086e-05,True,True,False,True,False,True,False,False,False,False,True
burned-h106-ksat-minus,burned,106,ksat,minus,1995,70,1,1,0.030177369713783264,0.012818491086363792,0.012818491086363792,3.7117265492270235e-06,1.0,HDRIVE,1.4031015780346934e-05,0.03020448237657547,0.01264582946896553,0.01264582946896553,3.56502505383105e-06,1.0,HDRIVE,1.3930728528066538e-05,True,True,False,False,False,True,False,False,False,True,True
