scenario,hillslope_id,soil_description,surface_ksat_mm_h,profile_ksat_harmonic_mm_h,inrcov,rilcov,slope_scalar,elevation,hillslope_length_m,area_m2,path_length_m,path_channel_count,surdra_event_count,surdra_fraction,appmth_count,hdrive_count,no_surplus_count,event_count,observer_runtime_s,trace_sha256,hbp_sha256
burned,8,"'Chumash-Boades-Malibu association, 30 to 75 percent slopes'	 'GR-L'	 2	 0.23	 0.75	 1000000	 8e-05	 1",20.0,24.732824427480917,0.8,0.8,0.4045724761984113,137.6,220.7161426109512,61200.0,869.1168824543142,3,161,0.8846153846153846,126,56,21,182,4.372874744003639,a8f09c97b9f6fe4a5ba155f132c77c819b9130de49adb2a39e20c9c08b15a0fe,e5f9bba2307536f606d692b4bcc61fbf0712bb2abaadfcaadb19b21cd79d3f53
burned,31,"'Rock outcrop-Sumiwawa-Hipuk complex, 30 to 75 percent slopes'	 'GR-LS'	 3	 0.3	 0.75	 400000	 0.00012	 2",20.0,37.722095671981776,0.55,0.55,1.0852462355623544,250.7,10.0,900.0,2280.3657992645926,7,13,0.0718232044198895,104,77,168,181,4.233288211980835,a86ab16913a7b8e3544ca33e530ed69ebf81d0e0430c749ab93850e4d3abbd7a,487c92b43d168592b707ef498c1b35cb7dc955c034babacfafc217d37dda0e0b
burned,35,"'Rock outcrop-Sumiwawa-Hipuk complex, 30 to 75 percent slopes'	 'GR-LS'	 3	 0.3	 0.75	 400000	 0.00012	 2",20.0,37.722095671981776,0.8,0.8,3.82537193988883,415.6,28.465154521752307,8100.0,2564.92424049175,8,19,0.08370044052863436,120,107,208,227,4.183631557971239,eb3612abb6b54507c493f4c18698a7c67737a83342db1fc8e61f258500fa5cf4,5af5080efb3e72e8c46bdff81f6d447b137846b56b158d0f5ce3b1d8dcf0331e
burned,62,"'Zumaridge-Rock outcrop complex, bouldery, 30 to 75 percent slopes'	 'L'	 2	 0.23	 0.75	 1000000	 8e-05	 1",20.0,24.732824427480917,0.55,0.55,2.761861385682345,687.0,54.8528137423857,6300.0,3794.0411229460638,15,199,0.7896825396825397,145,107,53,252,4.300058835186064,1070737ec9cacdd094690f454150d03275f043edecb48aa6c270b1a06bc1381f,4c544f08a1dce06838ee720060b2ad7724137faa7d811a55049d227e77b0e23e
burned,84,"'Rock outcrop-Sumiwawa-Hipuk complex, 30 to 75 percent slopes'	 'GR-LS'	 3	 0.3	 0.75	 400000	 0.00012	 2",20.0,37.722095671981776,0.8,0.8,1.1687702456958615,767.8,165.685424949238,36000.0,4009.188309203678,16,54,0.2,147,123,216,270,4.107685022056103,96119d3a70c5cae4057f5de7531133664c228576bf35c12134ea88e769ebcee5,67134deaa23ee8901c1450789d0a53bfee2fd1a1843573ef20489838f75867ad
burned,85,"'Rock outcrop-Sumiwawa-Hipuk complex, 30 to 75 percent slopes'	 'GR-LS'	 3	 0.3	 0.75	 400000	 0.00012	 2",20.0,37.722095671981776,0.55,0.55,3.0824887072148583,678.3,45.56349186104045,9900.0,4009.188309203678,16,29,0.11026615969581749,154,109,234,263,4.159642843995243,84443631fad62fac846be13db68376b79959bb49367cffc4be03168b85c73d4a,d048c66a6fa1235039c253235abdb3d463168f42ec781dba7ccf7d17cee8c80b
burned,91,"'Zumaridge-Rock outcrop complex, bouldery, 30 to 75 percent slopes'	 'L'	 2	 0.23	 0.75	 1000000	 0.0001	 1",15.0,20.50632911392405,0.3,0.3,0.6143721019726235,816.4,229.7056274847714,44100.0,4154.041122946064,17,123,0.2019704433497537,253,356,486,609,4.286323752021417,e5a0228ef00102c178a51dbe265eea1fdee96563cc6869976c1e5a1d52480294,71ff65ba2c69b2879229013ba2cc63888af786bb3be2bbc7a1948b900509234b
burned,106,"'Chumash-Boades-Malibu association, 30 to 75 percent slopes'	 'GR-L'	 2	 0.23	 0.75	 1000000	 8e-05	 1",20.0,24.732824427480917,0.55,0.55,0.928890631621804,458.2,111.36931803688122,18900.0,2939.482681718907,10,196,0.8340425531914893,149,86,39,235,4.428908256813884,e5272f0d0485d83905ed8d3c57d3975c71d9e6862194de9ca25e41e03e46b4e7,d57c55d5cec39b22f92a75f67b25f7d73d981ad22fed7154932c57a270d0b4bc
undisturbed,8,"'Chumash-Boades-Malibu association, 30 to 75 percent slopes'	 'GR-L'	 2	 0.23	 0.75	 1000000	 5e-05	 1",35.0,33.64985163204748,0.9,0.9,0.4045724761984113,137.6,220.7161426109512,61200.0,869.1168824543142,3,171,0.9884393063583815,160,13,2,173,4.025601010071114,eb6eec7341eb40e85cf7bd2b47d776bc5e7165a0f8e733a5c7a64ab70df94ca8,f56c2d4abb9f2bb24907c11f4685a9de6592e651d9cb9f794012db0719b04df8
undisturbed,31,"'Rock outcrop-Sumiwawa-Hipuk complex, 30 to 75 percent slopes'	 'GR-LS'	 3	 0.3	 0.75	 400000	 0.0001	 2",40.0,71.37931034482759,0.9,0.9,1.0852462355623544,250.7,10.0,900.0,2280.3657992645926,7,32,0.4444444444444444,61,11,40,72,4.368611183017492,1ce0f406320f3578c8caea225118b531e0ec6873ea5cfb445ef7b5a7371ef8a9,b35cc13c6bc27ca4bfb2c363eaa1a96c95019084335062d548d0cbf069a81ea9
