INFO:wctl2:docker compose restart
 Container wepppy-rq-worker-batch Restarting 
 Container wepppy-metquery Restarting 
 Container wepppy-rq-engine Restarting 
 Container wepppy-rq-dashboard Restarting 
 Container weppcloud Restarting 
 Container wepppy-rq-worker Restarting 
 Container wepppy-rq-worker-fork-archive Restarting 
 Container wepppy-postgres-backup Restarting 
 Container wepppy-wmesque2 Restarting 
 Container profile-playback Restarting 
 Container weppcloud-status-build Restarting 
 Container weppcloud-preflight-build Restarting 
 Container weppcloud-preflight Restarting 
 Container wepppy-shape-converter Restarting 
 Container wepppy-postgres Restarting 
 Container wepppy-browse Restarting 
 Container weppcloud-status Restarting 
 Container wepppy-query-engine Restarting 
 Container docker-fcgiwrap-1 Restarting 
 Container wepppy-dtale Restarting 
 Container wepppy-elevationquery Restarting 
 Container wepppy-download Restarting 
 Container wepppy-redis Restarting 
 Container wepppy-cap Restarting 
 Container wepppy-caddy Restarting 
 Container weppcloudr Restarting 
 Container wepppy-scheduler Restarting 
 Container wepppy-wmesque Restarting 
 Container weppcloud-preflight-build Started 
 Container weppcloud-status-build Started 
 Container wepppy-shape-converter Started 
 Container wepppy-cap Started 
 Container wepppy-wmesque2 Started 
 Container weppcloud-status Started 
 Container weppcloud Started 
 Container wepppy-query-engine Started 
 Container wepppy-rq-engine Started 
 Container wepppy-caddy Started 
 Container docker-fcgiwrap-1 Started 
 Container profile-playback Started 
 Container weppcloud-preflight Started 
 Container wepppy-wmesque Started 
 Container wepppy-download Started 
 Container wepppy-postgres Started 
 Container wepppy-elevationquery Started 
 Container wepppy-metquery Started 
 Container wepppy-browse Started 
 Container wepppy-rq-worker-batch Started 
 Container wepppy-dtale Started 
 Container wepppy-rq-worker Started 
 Container wepppy-rq-dashboard Started 
 Container wepppy-redis Started 
 Container wepppy-rq-worker-fork-archive Started 
 Container wepppy-postgres-backup Started 
 Container weppcloudr Started 
 Container wepppy-scheduler Started 
